Tettsted;Kommune;Folkemengde;Folkemengde;Areal, km2;Areal, km2;Areal, km2;
I alt;Fordelt på kommune;I alt;Fordelt på kommune;Innbyggere pr. km2;
8091 Sørreisa;1925 Sørreisa;1538; ;1,64; ;938;
8101 Gryllefjord;1928 Torsken;383; ;0,25; ;1532;
8102 Torsken;1928 Torsken;202; ;0,26; ;777;
8111 Senjehopen;1929 Berg;305; ;0,35; ;871;
8121 Finnsnes;1931 Lenvik;4658; ;3,27; ;1424;
8122 Silsand;1931 Lenvik;1583; ;1,03; ;1537;
8123 Gibostad;1931 Lenvik;326; ;0,40; ;815;
8124 Husøy;1931 Lenvik;285; ;0,11; ;2591;
8131 Storsteinnes;1933 Balsfjord;1076; ;1,10; ;978;
8132 Nordkjosbotn;1933 Balsfjord;464; ;0,70; ;663;
8141 Hansnes;1936 Karlsøy;493; ;0,49; ;1006;
8152 Lyngseidet;1938 Lyngen;819; ;0,87; ;941;
8161 Olderdalen;1940 Gaivuotna/Kåfjord;322; ;0,51; ;631;
8162 Kåfjordbotn;1940 Gaivuotna/Kåfjord;214; ;0,31; ;690;
8171 Skjervøy;1941 Skjervøy;2460; ;1,29; ;1907;
8181 Sørkjosen;1942 Nordreisa;864; ;0,79; ;1094;
8182 Storslett;1942 Nordreisa;1837; ;1,63; ;1127;
8191 Burfjord;1943 Kvænangen;405; ;0,54; ;750;
8221 Tennevoll;1920 Lavangen;307; ;0,39; ;787;
8251 Skibotn;1939 Storfjord;524; ;0,95; ;552;
8261 Tromsdalen;1902 Tromsø;16787; ;5,01; ;3351;
8262 Kvaløysletta;1902 Tromsø;8681; ;3,12; ;2782;
8271 Vangsvik;1927 Tranøy;285; ;0,39; ;731;
8501 Hammerfest;2004 Hammerfest;8052; ;2,84; ;2835;
8502 Forsøl;2004 Hammerfest;215; ;0,13; ;1654;
8511 Vardø;2002 Vardø;1875; ;1,19; ;1576;
8512 Kiberg;2002 Vardø;202; ;0,30; ;673;
8521 Vadsø;2003 Vadsø;5064; ;3,36; ;1507;
8522 Vestre Jakobselv;2003 Vadsø;537; ;0,75; ;716;
8531 Kautokeino;2011 Guovdageaidnu/Kautokeino;1445; ;2,45; ;590;
8541 Talvik;2012 Alta;313; ;0,41; ;763;
8542 Alta;2012 Alta;15094; ;9,23; ;1635;
8543 Rafsbotn;2012 Alta;408; ;0,34; ;1200;
8544 Tverrelvdalen;2012 Alta;430; ;0,40; ;1075;
8545 Amtmannsnes;2012 Alta;426; ;0,22; ;1936;
8551 Øksfjord;2014 Loppa;504; ;0,33; ;1527;
8562 Breivikbotn;2015 Hasvik;320; ;0,32; ;1000;
8563 Hasvik;2015 Hasvik;385; ;0,53; ;726;
8571 Rypefjord;2004 Hammerfest;1838; ;1,34; ;1372;
