Tettsted;Kommune;Folkemengde;Folkemengde;Areal, km2;Areal, km2;Areal, km2;
I alt;Fordelt på kommune;I alt;Fordelt på kommune;Innbyggere pr. km2;
1071 Skarnes;0419 Sør-Odal;2397; ;2,39; ;1003;
1072 Sander;0419 Sør-Odal;313; ;0,28; ;1118;
1073 Disenå;0419 Sør-Odal;269; ;0,47; ;572;
1082 Skotterud;0420 Eidskog;1301; ;1,49; ;873;
1083 Magnor;0420 Eidskog;962; ;1,38; ;697;
1091 Namnå;0423 Grue;357; ;0,66; ;541;
1092 Kirkenær;0423 Grue;1264; ;2,01; ;629;
1101 Flisa;0425 Åsnes;1644; ;1,78; ;924;
1102 Kjellmyra;0425 Åsnes;428; ;0,64; ;669;
1103 Sønsterud;0425 Åsnes;229; ;0,37; ;619;
1112 Våler;0426 Våler;1179; ;1,29; ;914;
1113 Braskereidfoss;0426 Våler;238; ;1,01; ;236;
1121 Elverum;0427 Elverum;14877; ;11,12; ;1338;
1132 Nybergsund;0428 Trysil;359; ;0,55; ;653;
1133 Innbygda;0428 Trysil;2344; ;2,95; ;795;
1141 Rena;0429 Åmot;2263; ;1,92; ;1179;
1151 Koppang;0430 Stor-Elvdal;1157; ;1,99; ;581;
1161 Otnes;0432 Rendalen;261; ;0,48; ;544;
1181 Tolga;0436 Tolga;578; ;0,98; ;590;
1191 Tynset;0437 Tynset;2730; ;2,84; ;961;
1201 Alvdal;0438 Alvdal;767; ;1,31; ;585;
1211 Folldal;0439 Folldal;544; ;1,01; ;539;
1221 Os;0441 Os;675; ;0,97; ;696;
1501 Lillehammer;0501 Lillehammer;20400; ;11,14; ;1831;
1502 Jørstadmoen;0501 Lillehammer;756; ;0,87; ;869;
1503 Fåberg;0501 Lillehammer;689; ;0,51; ;1351;
1505 Vingrom;0501 Lillehammer;592; ;0,59; ;1003;
1506 Vingnes;0501 Lillehammer;1534; ;0,95; ;1615;
1511 Gjøvik;0502 Gjøvik;20112; ;12,56; ;1601;
1513 Bybrua;0502 Gjøvik;1010; ;0,78; ;1295;
1515 Biri;0502 Gjøvik;1507; ;1,99; ;757;
1516 Monssveen;0502 Gjøvik;332; ;0,16; ;2075;
1522 Dombås;0511 Dovre;1240; ;1,65; ;752;
1541 Bismo;0513 Skjåk;646; ;1,16; ;557;
1551 Fossbergom;0514 Lom;882; ;1,45; ;608;
1561 Vågåmo;0515 Vågå;1506; ;1,68; ;896;
1562 Lalm;0515 Vågå;336; ;0,35; ;960;
1571 Vinstra;0516 Nord-Fron;2588; ;2,90; ;892;
1572 Kvam;0516 Nord-Fron;782; ;1,19; ;657;
1582 Otta;0517 Sel;1749; ;1,54; ;1136;
1583 Dale;0517 Sel;681; ;0,59; ;1154;
1584 Bjølstad;0517 Sel;401; ;0,53; ;757;
1585 Sandbumoen;0517 Sel;283; ;0,25; ;1132;
1591 Hundorp;0519 Sør-Fron;568; ;0,87; ;653;
1592 Harpefoss;0519 Sør-Fron;327; ;0,54; ;606;
1593 Lia;0519 Sør-Fron;286; ;0,45; ;636;
1601 Ringebu;0520 Ringebu;1394; ;1,84; ;758;
1602 Fåvang;0520 Ringebu;654; ;0,94; ;696;
1611 Granrudmoen;0521 Øyer;2004; ;2,21; ;907;
1612 Tretten;0521 Øyer;843; ;1,16; ;727;
1621 Segalstad bru;0522 Gausdal;996; ;1,29; ;772;
1622 Follebu;0522 Gausdal;1156; ;1,04; ;1112;
1623 Forset;0522 Gausdal;583; ;0,62; ;940;
1631 Kapp;0528 ØstreToten;2055; ;1,96; ;1048;
1632 Sletta;0528 ØstreToten;316; ;0,37; ;854;
1633 Lena;0528 ØstreToten;1179; ;1,38; ;854;
1635 Skreia;0528 ØstreToten;1020; ;1,18; ;864;
1636 Lensbygda;0528 ØstreToten;492; ;0,58; ;848;
1637 Kolbu;0528 ØstreToten;661; ;0,63; ;1049;
1638 Nordlia;0528 ØstreToten;596; ;0,42; ;1419;
1642 Reinsvoll;0529 VestreToten;1035; ;1,13; ;916;
1643 Bøverbru;0529 VestreToten;769; ;0,66; ;1165;
1644 Eina;0529 VestreToten;732; ;0,72; ;1017;
1645 Raufoss i alt; ;7315;.;6,75; ;1084;
 ;0502 Gjøvik;.;267;.;0,56;477;
 ;0529 VestreToten;.;7048;.;6,19;1139;
1652 Jevnaker;0532 Jevnaker;4747; ;3,73; ;1273;
1661 Lunner;0533 Lunner;974; ;1,01; ;964;
1662 Roa;0533 Lunner;969; ;0,96; ;1009;
1663 Grua;0533 Lunner;1519; ;0,78; ;1947;
1664 Harestua;0533 Lunner;2280; ;1,51; ;1510;
1675 Brandbu/Jaren;0534 Gran;4672; ;5,24; ;892;
1676 Gran/Ringstad;0534 Gran;1638; ;1,45; ;1130;
1683 Hov;0536 SøndreLand;2076; ;2,34; ;887;
1691 Dokka;0538 NordreLand;2964; ;3,38; ;877;
1701 Bagn;0540 Sør-Aurdal;719; ;0,97; ;741;
1711 Fagernes;0542 Nord-Aurdal;1936; ;2,01; ;963;
1712 Leira;0542 Nord-Aurdal;865; ;1,08; ;801;
1713 Aurdal;0542 Nord-Aurdal;677; ;0,81; ;836;
1721 Røn;0543 VestreSlidre;251; ;0,51; ;492;
1722 Slidre;0543 VestreSlidre;338; ;0,44; ;768;
1731 Moane;0544 ØystreSlidre;239; ;0,32; ;747;
1732 Beitostølen;0544 ØystreSlidre;382; ;1,41; ;271;
1733 Heggenes;0544 ØystreSlidre;279; ;0,51; ;547;
1751 Bruflat;0541 Etnedal;236; ;0,40; ;590;
2003 Drammen i alt; ;116446;.;51,23; ;2273;
 ;0602 Drammen; ;66877;.;23,85;2804;
 ;0624 ØvreEiker;.;8697;.;6,22;1398;
 ;0625 NedreEiker;.;24140;.;10,56;2286;
 ;0626 Lier;.;12039;.;8,28;1454;
 ;0627 Røyken;.;4187;.;2,04;2052;
 ;0713 Sande;.;506;.;0,28;1807;
2011 Hvittingfoss;0604 Kongsberg;1083; ;1,16; ;934;
2015 Kongsberg;0604 Kongsberg;21890; ;12,87; ;1701;
2025 Vang;0605 Ringerike;2202; ;1,57; ;1403;
2028 Tyristrand;0605 Ringerike;833; ;1,02; ;817;
2029 Sokna;0605 Ringerike;558; ;0,68; ;821;
2030 Hallingby;0605 Ringerike;875; ;0,66; ;1326;
2032 Norderhov;0605 Ringerike;337; ;0,32; ;1053;
2033 Hønefoss;0605 Ringerike;15662; ;8,99; ;1742;
2034 Nakkerud;0605 Ringerike;340; ;0,39; ;872;
2041 Steinsåsen;0612 Hole;1960; ;1,28; ;1531;
2042 Helgelandsmoen i alt; ;536;.;0,61;.;879;
 ;0605 Ringerike;.;50;.;0,07;714;
 ;0612 Hole;.;486;.;0,54;900;
2043 Gomnes;0612 Hole;378; ;0,25; ;1512;
2044 Kroksund;0612 Hole;349; ;0,20; ;1745;
2045 Sundvollen;0612 Hole;1167; ;0,81; ;1441;
2051 Nesbyen;0616 Nes;2141; ;2,67; ;802;
2061 Gol;0617 Gol;2930; ;3,30; ;888;
2071 Hemsedal;0618 Hemsedal;846; ;0,88; ;961;
2072 Svøo;0618 Hemsedal;482; ;0,61; ;790;
2081 Ål;0619 Ål;2317; ;2,65; ;874;
2082 Torpo;0619 Ål;401; ;0,75; ;535;
2091 Hol;0620 Hol;321; ;0,44; ;730;
2092 Geilo;0620 Hol;2499; ;3,23; ;774;
2101 Krøderen;0622 Krødsherad;593; ;0,78; ;760;
2102 Noresund;0622 Krødsherad;359; ;0,51; ;704;
2113 Vikersund;0623 Modum;3175; ;2,42; ;1312;
2114 Åmot/Geithus;0623 Modum;6351; ;5,70; ;1114;
2115 Sysle;0623 Modum;249; ;0,21; ;1186;
2121 Darbu;0624 ØvreEiker;537; ;0,58; ;926;
2122 Vestfossen;0624 ØvreEiker;3156; ;2,29; ;1378;
2124 Skotselv;0624 ØvreEiker;737; ;0,79; ;933;
2125 Ormåsen;0624 ØvreEiker;1428; ;0,54; ;2644;
2143 Sylling;0626 Lier;680; ;0,51; ;1333;
2144 Tranby;0626 Lier;5350; ;2,04; ;2623;
2145 Oddevall/Sjåstad;0626 Lier;457; ;0,38; ;1203;
2146 Fagerliåsen/Poverudbyen;0626 Lier;401; ;0,27; ;1485;
2148 Askgrenda;0626 Lier;440; ;0,15; ;2933;
2151 Nærnes;0627 Røyken;1395; ;0,91; ;1533;
2153 Åros;0627 Røyken;2055; ;2,02; ;1017;
2154 Røyken;0627 Røyken;3630; ;2,05; ;1771;
2157 Hyggen;0627 Røyken;799; ;0,52; ;1537;
2161 Klokkarstua;0628 Hurum;692; ;0,53; ;1306;
2162 Holmsbu;0628 Hurum;291; ;0,42; ;693;
2165 Sætre i alt; ;3685;.;2,48;.;1486;
 ;0627 Røyken;.;73;.;0,02;3650;
 ;0628 Hurum;.;3612;.;2,46;1468;
2166 Tofte;0628 Hurum;3082; ;2,98; ;1034;
2171 Rødberg;0633 NoreogUvdal;498; ;0,64; ;778;
2191 Prestfoss;0621 Sigdal;469; ;0,71; ;661;
2201 Lampeland;0631 Flesberg;575; ;0,53; ;1085;
2202 Svene;0631 Flesberg;376; ;0,35; ;1074;
2211 Veggli;0632 Rollag;293; ;0,57; ;514;
2501 Holmestrand;0702 Holmestrand;7262; ;4,63; ;1568;
2502 Gullhaug;0702 Holmestrand;2038; ;1,18; ;1727;
2511 Horten;0701 Horten;20371; ;8,62; ;2363;
2521 Tønsberg i alt; ;51571;.;26,35;.;1957;
 ;0704 Tønsberg;.;34335;.;16,05;2139;
 ;0722 Nøtterøy;.;17236;.;10,30;1673;
2522 Vollen;0704 Tønsberg;508; ;0,33; ;1539;
2531 Sandefjord;0710 Sandefjord;43595; ;24,05; ;1813;
2533 Hem;0709 Larvik;665; ;0,35; ;1900;
2541 Larvik;0709 Larvik;24208; ;13,24; ;1828;
2542 Tveteneåsen;0709 Larvik;844; ;0,37; ;2281;
2551 Stavern;0709 Larvik;5628; ;3,71; ;1517;
2561 Berger i alt; ;1131;.;0,87;.;1300;
 ;0711 Svelvik;.;1127;.;0,86;1310;
 ;0713 Sande;.;4;.;0,01;400;
2562 Svelvik i alt; ;3955;.;2,31;.;1712;
 ;0628 Hurum;.;123;.;0,08;1538;
 ;0711 Svelvik;.;3832;.;2,23;1718;
2563 Nesbygda;0711 Svelvik;987; ;0,67; ;1473;
2571 Selvik;0713 Sande;2685; ;1,54; ;1744;
2572 Sande;0713 Sande;2254; ;1,33; ;1695;
2573 Klevjer;0713 Sande;434; ;0,33; ;1315;
2574 Ekeberg;0713 Sande;412; ;0,30; ;1373;
2582 Hof;0714 Hof;1093; ;1,08; ;1012;
2583 Sundbyfoss;0714 Hof;534; ;0,44; ;1214;
2592 Kirkevoll/Brekkeåsen;0716 Re;930; ;0,60; ;1550;
2597 Revetal/Bergsåsen;0716 Re;2403; ;1,61; ;1493;
2598 Linnestad;0716 Re;323; ;0,33; ;979;
2599 Skjeggestadåsen;0716 Re;344; ;0,23; ;1496;
2600 Solerød;0716 Re;363; ;0,34; ;1068;
2601 Nykirke;0701 Horten;726; ;0,54; ;1344;
2602 Skoppum;0701 Horten;1673; ;1,13; ;1481;
2603 Åsgårdstrand i alt; ;3091;.;1,59;.;1944;
 ;0701 Horten;.;2913;.;1,42;2051;
 ;0704 Tønsberg;.;178;.;0,17;1047;
2611 Kodal;0710 Sandefjord;1004; ;0,62; ;1619;
2612 Andebu;0710 Sandefjord;2207; ;1,80; ;1226;
2613 Høyjord;0710 Sandefjord;439; ;0,50; ;878;
2621 Vear i alt; ;3642;.;2,29;.;1590;
 ;0704 Tønsberg;.;3483;.;2,19;1590;
 ;0710 Sandefjord;.;159;.;0,10;1590;
2622 Melsomvik;0710 Sandefjord;2113; ;1,35; ;1565;
2623 Stokke;0710 Sandefjord;3631; ;2,11; ;1721;
2625 Fossnes;0710 Sandefjord;548; ;0,37; ;1481;
2626 Brunstad;0710 Sandefjord;289; ;0,33; ;876;
2631 Sem i alt; ;2481;.;1,96;.;1266;
 ;0704 Tønsberg;.;2417;.;1,91;1265;
 ;0710 Sandefjord;.;64;.;0,05;1280;
2633 Barkåker;0704 Tønsberg;1725; ;1,03; ;1675;
2643 Kjøpmannsskjær;0722 Nøtterøy;421; ;0,46; ;915;
2644 Årøysund;0722 Nøtterøy;1624; ;1,30; ;1249;
2645 Glomstein;0722 Nøtterøy;788; ;0,76; ;1037;
2651 Tjøme;0723 Tjøme;2945; ;2,44; ;1207;
2652 Hvasser;0723 Tjøme;482; ;0,59; ;817;
2664 Lauve/Viksjord;0709 Larvik;1790; ;1,37; ;1307;
2674 Helgeroa/Nevlunghamn;0709 Larvik;1788; ;1,71; ;1046;
2682 Verningen;0709 Larvik;950; ;0,84; ;1131;
2683 Kvelde;0709 Larvik;1027; ;0,76; ;1351;
2691 Svarstad;0728 Lardal;634; ;0,65; ;975;
3001 Langangen;0805 Porsgrunn;498; ;0,41; ;1215;
3004 Sandøya;0805 Porsgrunn;296; ;0,32; ;925;
3005 Porsgrunn/Skien i alt; ;92753;.;52,97;.;1751;
 ;0805 Porsgrunn;.;33744;.;20,69;1631;
 ;0806 Skien;.;48826;.;26,09;1871;
 ;0814 Bamble;.;10183;.;6,19;1645;
3014 Sneltvedt;0806 Skien;271; ;0,20; ;1355;
3021 Notodden;0807 Notodden;9077; ;7,16; ;1268;
3022 Yli;0807 Notodden;294; ;0,26; ;1131;
3031 Siljan;0811 Siljan;819; ;0,62; ;1321;
3032 Snurråsen;0811 Siljan;294; ;0,15; ;1960;
3033 Øverbø;0811 Siljan;231; ;0,23; ;1004;
3041 Herre;0814 Bamble;1327; ;1,76; ;754;
3044 Botten;0814 Bamble;243; ;0,31; ;784;
3051 Kil;0815 Kragerø;958; ;0,84; ;1140;
3054 Kragerø;0815 Kragerø;5445; ;3,32; ;1640;
3055 Vadfoss/Helle;0815 Kragerø;1625; ;1,34; ;1213;
3061 Preststranda;0817 Drangedal;1306; ;1,59; ;821;
3062 Neslandsvatn;0817 Drangedal;298; ;0,35; ;851;
3071 Bjervamoen;0819 Nome;1578; ;1,58; ;999;
3072 Ulefoss;0819 Nome;2275; ;2,38; ;956;
3081 Bø;0821 Bø;3285; ;3,45; ;952;
3083 Folkestad;0821 Bø;387; ;0,64; ;605;
3091 Hjukse;0822 Sauherad;284; ;0,39; ;728;
3092 Nordagutu;0822 Sauherad;322; ;0,37; ;870;
3093 Gvarv;0822 Sauherad;1098; ;1,19; ;923;
3101 Tinn austbygd;0826 Tinn;385; ;0,46; ;837;
3102 Rjukan;0826 Tinn;3247; ;2,57; ;1263;
3103 Miland;0826 Tinn;321; ;0,26; ;1235;
3111 Seljord;0828 Seljord;1437; ;2,20; ;653;
3122 Kviteseid;0829 Kviteseid;780; ;1,31; ;595;
3131 Tveitsund;0830 Nissedal;557; ;1,01; ;551;
3141 Fyresdal;0831 Fyresdal;384; ;0,62; ;619;
3151 Dalen;0833 Tokke;603; ;0,68; ;887;
3161 Åmot;0834 Vinje;669; ;1,10; ;608;
3162 Krossen;0834 Vinje;497; ;0,78; ;637;
3501 Risør;0901 Risør;4626; ;2,93; ;1579;
3511 Arendal i alt; ;43084;.;30,71;.;1403;
 ;0904 Grimstad;.;5917;.;4,19;1412;
 ;0906 Arendal;.;37167;.;26,52;1401;
3512 Longum;0906 Arendal;268; ;0,22; ;1218;
3523 Grimstad;0904 Grimstad;12899; ;9,75; ;1323;
3524 Jortveit;0904 Grimstad;659; ;0,61; ;1080;
3531 Tvedestrand;0914 Tvedestrand;2503; ;1,93; ;1297;
3532 Nesgrenda;0914 Tvedestrand;246; ;0,61; ;403;
3541 Kilsund;0906 Arendal;707; ;0,91; ;777;
3551 Blakstad;0919 Froland;3010; ;2,51; ;1199;
3561 Rykene i alt; ;726;.;0,74;.;981;
 ;0904 Grimstad;.;23;.;0,05;460;
 ;0906 Arendal;.;703;.;0,69;1019;
3571 Lillesand;0926 Lillesand;7644; ;5,01; ;1526;
3572 Høvåg;0926 Lillesand;322; ;0,30; ;1073;
3581 Birkeland;0928 Birkenes;2851; ;2,06; ;1384;
3591 Åmli;0929 Åmli;682; ;0,80; ;853;
3603 Evje;0937 Evje og Hornnes;2462; ;3,10; ;794;
3612 Byglandsfjord;0938 Bygland;366; ;0,49; ;747;
3631 Valle;0940 Valle;298; ;0,38; ;784;
3641 Hovden;0941 Bykle;392; ;0,62; ;632;
3642 Bykle;0941 Bykle;258; ;0,48; ;538;
3651 Gjerstad;0911 Gjerstad;289; ;0,34; ;850;
3652 Eikeland;0911 Gjerstad;596; ;0,82; ;727;
3661 Myra;0912 Vegårshei;781; ;0,92; ;849;
3662 Ubergsmoen;0912 Vegårshei;228; ;0,24; ;950;
4001 Skålevik;1001 Kristiansand;3412; ;2,16; ;1580;
4002 Kristiansand;1001 Kristiansand;61536; ;24,91; ;2470;
4007 Tveit;1001 Kristiansand;1445; ;1,00; ;1445;
4009 Korsvik;1001 Kristiansand;17464; ;7,37; ;2370;
4011 Mandal;1002 Mandal;10851; ;6,37; ;1703;
4012 Krossen;1002 Mandal;624; ;0,48; ;1300;
4013 Sånum;1002 Mandal;555; ;0,46; ;1207;
4021 Farsund;1003 Farsund;3420; ;2,52; ;1357;
4022 Vanse;1003 Farsund;2040; ;1,87; ;1091;
4023 Vestbygda;1003 Farsund;1120; ;0,91; ;1231;
4031 Flekkefjord;1004 Flekkefjord;6045; ;3,59; ;1684;
4032 Sira;1004 Flekkefjord;623; ;0,67; ;930;
4041 Skarpengland;1014 Vennesla;564; ;0,34; ;1659;
4042 Vennesla i alt; ;12920;.;7,16; ;1804;
 ;1001 Kristiansand;.;2361;1,32; ;1789;
 ;1014 Vennesla;.;10559;5,84; ;1808;
4043 Hægeland;1014 Vennesla;440; ;0,25; ;1760;
4044 Slettebrotane;1014 Vennesla;346; ;0,37; ;935;
4051 Nodeland;1017 Songdalen;3658; ;1,90; ;1925;
4052 Volleberg;1017 Songdalen;584; ;0,32; ;1825;
4054 Brennåsen;1017 Songdalen;567; ;1,12; ;506;
4061 Søgne;1018 Søgne;9259; ;5,91; ;1567;
4063 Ausvika;1018 Søgne;504; ;0,26; ;1938;
4071 Øyslebø;1021 Marnardal;383; ;0,38; ;1008;
4081 Høllen;1029 Lindesnes;685; ;0,72; ;951;
4082 Vigeland;1029 Lindesnes;1536; ;1,20; ;1280;
4083 Svennevik;1029 Lindesnes;382; ;0,34; ;1124;
4091 Lyngdal;1032 Lyngdal;5036; ;3,98; ;1265;
4092 Skomrak;1032 Lyngdal;237; ;0,12; ;1975;
4093 Svenevik;1032 Lyngdal;341; ;0,28; ;1218;
4094 Årnes;1032 Lyngdal;401; ;0,23; ;1743;
4101 Feda;1037 Kvinesdal;395; ;0,52; ;760;
4102 Liknes;1037 Kvinesdal;2478; ;1,99; ;1245;
4111 Tonstad;1046 Sirdal;890; ;1,20; ;742;
4131 Helle;1027 Audnedal;282; ;0,39; ;723;
4132 Byremo;1027 Audnedal;266; ;0,31; ;858;
4501 Egersund;1101 Eigersund;11519; ;6,62; ;1740;
4502 Hellvik;1101 Eigersund;825; ;0,67; ;1231;
4512 Vatne;1102 Sandnes;889; ;0,50; ;1778;
4514 Hommersåk;1102 Sandnes;6375; ;2,17; ;2938;
4515 Sviland;1102 Sandnes;622; ;0,27; ;2304;
4516 Høle;1102 Sandnes;420; ;0,37; ;1135;
4522 Stavanger/Sandnes i alt; ;220943;.;78,34; ;2820;
 ;1102 Sandnes;.;60561;.;22,37;2707;
 ;1103 Stavanger;.;130234;.;41,36;3149;
 ;1124 Sola;.;20766;.;11,18;1857;
 ;1127 Randaberg;.;9382;.;3,43;2735;
4523 Krossberg;1103 Stavanger;413; ;0,10; ;4130;
4524 Vassøy;1103 Stavanger;662; ;0,33; ;2006;
4532 Haugesund i alt; ;44830;.;20,68;.;2168;
 ;1106 Haugesund;.;36231;.;15,37;2357;
 ;1149 Karmøy;.;8599;.;5,31;1619;
4541 Hauge;1111 Sokndal;2187; ;1,64; ;1334;
4551 Moi;1112 Lund;2007; ;1,60; ;1254;
4561 Vikeså;1114 Bjerkreim;1039; ;0,95; ;1094;
4571 Nærbø;1119 Hå;7213; ;3,08; ;2342;
4572 Varhaug;1119 Hå;3238; ;1,52; ;2130;
4573 Vigrestad;1119 Hå;2070; ;1,16; ;1784;
4574 Brusand;1119 Hå;418; ;0,19; ;2200;
4575 Sirevåg;1119 Hå;682; ;0,58; ;1176;
4576 Ogna;1119 Hå;362; ;0,26; ;1392;
4577 Hæen;1119 Hå;700; ;0,44; ;1591;
4578 Nærland;1119 Hå;247; ;0,16; ;1544;
4583 Pollestad;1120 Klepp;691; ;0,48; ;1440;
4585 Kleppe/Verdalen;1120 Klepp;9066; ;3,28;3,28;2764;
4591 Bryne i alt; ;11961;.;5,17;.;2314;
 ;1120 Klepp;.;1680;.;0,98;1714;
 ;1121 Time;.;10281;.;4,19;2454;
4592 Kvernaland i alt; ;7269;.;4,17;.;1743;
 ;1102 Sandnes;.;33;.;0,38;87;
 ;1120 Klepp;.;3987;.;2,56;1557;
 ;1121 Time;.;3249;.;1,23;2641;
4593 Undheim;1121 Time;521; ;.;0,40;1303;
4594 Lyefjell;1121 Time;2285; ;.;0,86;2657;
4601 Ålgård/Figgjo i alt; ;11308;.;4,39;.;2576;
 ;1102 Sandnes;.;2056;.;0,85;2419;
 ;1122 Gjesdal;.;9252;.;3,54;2614;
4602 Oltedal;1122 Gjesdal;996; ;0,58; ;1717;
4603 Gilja;1122 Gjesdal;388; ;0,31; ;1252;
4614 Hålandsmarka;1124 Sola;953; ;0,17; ;5606;
4615 Stenebyen;1124 Sola;1017; ;0,40; ;2543;
4617 Kolnes;1124 Sola;457; ;0,97; ;471;
4631 Jørpeland;1130 Strand;7134; ;4,14; ;1723;
4632 Tau;1130 Strand;3185; ;2,12; ;1502;
4641 Hjelmelandsvågen;1133 Hjelmeland;584; ;0,67; ;872;
4651 Sand;1134 Suldal;1167; ;1,03; ;1133;
4661 Sauda;1135 Sauda;4263; ;3,99; ;1068;
4671 Judaberg;1141 Finnøy;812; ;0,74; ;1097;
4681 Ydstebøhamn;1144 Kvitsøy;386; ;0,35; ;1103;
4691 Førdesfjorden;1146 Tysvær;3825; ;2,56; ;1494;
4692 Aksdal;1146 Tysvær;662; ;0,42; ;1576;
4693 Nedstrand;1146 Tysvær;238; ;0,34; ;700;
4694 Østenstad;1146 Tysvær;294; ;0,29; ;1014;
4696 Slåttevik;1146 Tysvær;274; ;0,19; ;1442;
4697 Grinde;1146 Tysvær;917; ;0,59; ;1554;
4698 Skre i alt; ;1670;.;1,03;.;1621;
 ;1146 Tysvær;.;39;.;0,06;650;
 ;1149 Karmøy;.;1631;.;0,97;1681;
4702 Åkrehamn;1149 Karmøy;7846; ;4,33; ;1812;
4703 Sandve;1149 Karmøy;351; ;0,44; ;798;
4705 Skudeneshavn;1149 Karmøy;3385; ;2,56; ;1322;
4706 Kopervik;1149 Karmøy;11434; ;7,54; ;1516;
4707 Våre;1149 Karmøy;251; ;1,14; ;220;
4708 Avaldsnes;1149 Karmøy;2981; ;3,10; ;962;
4709 Visnes;1149 Karmøy;562; ;0,53; ;1060;
