navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
RIKKE;19;34;35;44;43;47;52;68;49;49;
RITA;9;8;7;8;10;6;5;5;8;4;
RONJA;74;71;87;97;95;106;101;105;105;93;
ROSE;:;7;8;7;9;7;10;9;9;11;
RUNA;22;14;26;26;25;31;22;17;18;18;
RUTH;15;17;13;15;22;15;23;27;14;28;
SABRIN;:;:;4;:;6;:;:;5;4;10;
SABRINA;9;11;15;9;7;9;14;14;12;10;
SAFA;12;11;11;12;8;11;12;7;12;6;
SAGA;113;120;86;75;55;51;22;33;25;19;
SAHAR;:;:;:;:;:;:;:;10;5;5;
SALMA;16;14;20;21;27;29;20;33;22;24;
SAMANTHA;8;6;15;12;5;7;17;7;10;6;
SAMIRA;8;4;7;4;10;15;11;11;19;9;
SANA;7;8;10;6;13;5;4;8;6;7;
SANDRA;23;34;36;50;50;55;55;72;89;86;
SANNA;97;96;120;81;64;68;50;77;84;53;
SANNAH;5;7;13;5;7;11;:;:;4;4;
SANNE;15;24;15;27;32;24;22;42;47;41;
SARA;233;275;297;280;323;245;300;318;340;333;
SARAH;94;97;112;116;128;119;133;140;141;147;
SAVANNAH;14;13;16;24;19;18;17;24;12;8;
SELENA;5;8;10;17;7;6;10;6;4;4;
SELIN;9;4;4;4;7;7;9;7;10;10;
SELINA;27;17;13;23;25;15;18;23;19;16;
SELINE;6;10;12;8;19;13;13;11;6;8;
SELMA;221;159;176;184;153;184;183;221;234;244;
SERINA;6;16;9;5;14;11;12;15;9;11;
SERINE;16;11;16;18;10;16;9;22;10;20;
SHAM;13;9;12;9;8;4;:;:;6;:;
SIDRA;10;6;5;:;6;8;:;9;11;11;
SIENNA;24;38;32;49;40;28;33;30;33;25;
SIGNE;113;99;94;116;119;113;120;100;106;99;
SIGRID;128;117;113;128;147;145;123;116;114;104;
SIGRUN;5;7;5;6;4;5;6;:;4;10;
SIHAM;4;4;14;6;6;12;10;10;16;11;
SILJA;16;17;12;24;14;17;26;17;23;20;
SILJE;40;33;62;42;53;72;101;104;126;158;
SIMONA;10;6;:;:;7;10;:;8;4;5;
SIMONE;:;6;6;9;7;17;15;17;19;12;
SINA;11;8;15;24;13;24;27;27;31;32;
SINE;:;:;7;4;:;8;14;8;6;9;
SIREN;:;:;7;6;12;8;9;:;13;6;
SIRI;19;22;23;33;42;36;39;41;46;46;
SIRIL;:;:;:;9;6;6;:;5;8;10;
SOFIA;206;264;269;237;232;251;244;180;195;148;
SOFIE;356;324;320;322;347;374;374;390;381;357;
SOFIJA;13;25;16;13;16;11;10;9;7;8;
SOL;16;17;15;18;22;18;15;29;25;33;
SOLVEIG;85;90;70;83;77;105;104;113;77;104;
SONIA;9;8;10;12;8;12;7;12;8;8;
SONJA;90;60;42;44;35;32;22;17;19;15;
SOPHIA;66;83;100;113;104;95;90;65;52;35;
SOPHIE;56;61;55;52;57;54;50;48;62;42;
STELLA;55;80;102;87;64;84;89;84;74;73;
STINA;10;13;11;12;9;7;12;11;23;22;
STINE;12;17;10;31;30;35;29;53;58;67;
SUMAYA;15;14;17;13;14;11;21;19;23;17;
SUNDUS;4;4;7;5;:;:;:;13;:;4;
SUNNIVA;78;67;103;91;105;109;110;132;130;117;
SUSANNA;4;7;5;6;5;8;7;8;10;7;
SUSANNE;4;6;9;14;29;16;19;24;31;26;
SYNNE;62;83;85;85;103;124;132;102;90;109;
SYNNØVE;15;17;21;16;22;16;25;17;14;28;
TALE;22;16;12;22;15;10;12;11;10;17;
TARA;5;12;19;10;17;14;12;16;13;18;
TEA;9;5;13;10;15;6;10;13;14;16;
TEJA;6;11;9;9;11;12;7;4;:;:;
THALE;41;44;45;30;44;22;23;31;18;26;
THEA;237;256;274;312;302;313;367;375;424;406;
THELMA;25;18;28;26;23;19;26;29;24;19;
THERESE;7;11;12;11;20;16;25;28;30;30;
THILDE;10;18;13;10;8;23;8;13;7;13;
TIA;9;13;13;14;21;32;21;15;10;15;
TILDA;8;10;8;16;7;10;16;11;7;9;
TILDE;42;50;64;55;79;71;74;83;66;73;
TILIA;6;6;12;13;5;9;:;4;:;:;
TILJE;14;10;14;11;15;11;6;7;4;4;
TILLA;5;11;8;13;7;13;12;17;10;12;
TINA;8;16;10;6;11;25;19;24;32;42;
TINDRA;9;10;7;15;13;13;11;17;19;12;
TINE;:;5;:;8;:;10;:;9;6;6;
TIRIL;201;254;227;219;155;142;137;137;157;150;
TIRILL;7;14;9;11;9;12;12;11;9;6;
TOMINE;75;64;57;50;50;62;85;91;56;67;
TONE;5;6;10;7;6;8;8;11;21;21;
TONJE;9;6;10;10;6;11;9;26;23;33;
TORA;20;27;26;34;27;25;23;38;50;42;
TRINE;:;:;4;4;6;:;5;7;16;7;
TUVA;185;207;197;186;228;217;246;249;254;261;
TYRA;11;17;12;12;11;9;6;22;23;22;
UGNE;5;5;5;5;6;4;7;15;7;6;
ULLA;9;7;9;4;6;5;9;7;10;:;
ULRIKKE;7;18;16;17;16;17;24;16;18;16;
UNA;24;22;24;30;26;19;31;27;24;40;
URTE;:;:;4;4;8;11;6;6;10;14;
VALENTINA;10;13;15;12;15;11;17;9;8;7;
VANESSA;29;39;35;40;44;55;51;38;44;32;
VEGA;12;22;12;5;13;:;:;:;:;4;
VERA;40;39;27;31;26;18;17;14;18;28;
VERONICA;6;9;10;16;11;10;21;11;15;17;
VERONIKA;9;8;5;9;9;13;8;14;9;10;
VESLEMØY;4;8;5;8;4;12;9;17;15;11;
VICTORIA;157;159;169;187;253;224;191;231;224;196;
VIDA;8;13;17;30;27;29;12;14;8;10;
VIKTORIA;39;44;33;53;54;52;42;58;44;52;
VILDE;177;222;205;257;234;254;236;277;289;279;
VILJA;82;62;53;59;60;54;54;64;41;31;
VILJE;49;37;36;29;40;39;32;23;19;22;
VILLEMO;7;:;7;5;11;5;6;9;8;6;
VILMA;52;27;32;53;36;50;41;40;39;34;
VIOLA;11;16;12;12;11;21;12;9;15;12;
VIVIAN;:;5;8;5;5;11;6;7;7;7;
VÅR;7;10;6;6;8;7;7;8;15;14;
VÅRIN;24;24;20;17;24;22;24;10;16;18;
WERONIKA;:;5;6;4;4;7;8;6;14;9;
WIKTORIA;9;10;19;14;19;11;24;30;29;39;
WILMA;43;30;40;31;30;28;34;33;24;32;
YARA;5;6;7;6;6;11;11;11;7;8;
YASMIN;15;19;17;18;17;28;29;18;21;17;
YLVA;130;119;86;73;70;68;74;64;62;46;
YUSRA;14;11;:;11;11;9;12;22;10;7;
ÅSA;15;15;5;7;8;6;8;6;7;:;
ÅSE;29;16;13;6;11;11;12;13;8;16;
ÅSNE;7;10;10;7;11;10;13;12;15;7;
ZAHRA;18;23;9;13;18;7;14;13;18;19;
ZAINAB;17;16;16;13;15;15;15;18;15;10;
ZARA;14;12;19;21;6;15;10;19;15;17;
ZOE;7;12;7;12;17;5;13;10;11;8;
ZOFIA;22;28;19;13;16;18;13;14;15;8;
ZUZANNA;26;18;22;32;36;31;28;28;37;29;
