navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
CELINE;84;95;118;136;114;133;138;141;138;138;
CHARLOTTE;47;73;61;57;58;54;55;66;69;62;
CHLOE;12;18;10;12;14;5;17;8;13;6;
CHRISTIANE;:;:;4;5;4;8;5;7;4;10;
CHRISTINA;6;17;16;18;24;35;27;32;44;44;
CHRISTINE;10;6;11;14;20;14;21;37;34;44;
CINDY;:;:;:;:;:;7;4;:;6;10;
CLARA;30;25;23;23;22;20;35;23;19;18;
CORNELIA;58;60;57;55;49;55;66;65;57;43;
DANIA;4;10;5;7;7;4;10;5;6;5;
DANIELA;4;4;12;5;:;9;6;6;8;12;
DANIELLA;9;9;17;10;18;12;15;19;20;13;
DIANA;26;21;23;28;16;17;18;18;15;14;
DINA;21;31;45;42;32;56;68;72;81;101;
DORTHEA;:;:;10;5;5;5;4;4;12;:;
EA;29;28;24;21;20;27;18;9;10;12;
EBBA;47;33;38;33;27;33;20;40;23;18;
EDDA;11;9;7;8;12;4;4;8;5;:;
EDEL;5;7;15;13;14;14;13;7;9;9;
EDITH;20;26;21;16;16;18;16;17;9;6;
EILEEN;8;11;6;:;:;6;:;5;11;5;
EIR;6;13;15;10;11;17;12;7;11;14;
EIRA;71;65;61;52;66;66;50;61;60;47;
EIRIL;24;26;23;20;31;14;9;7;9;16;
EIRILL;9;4;10;5;14;7;9;6;11;5;
EIRIN;21;8;15;13;19;28;24;27;19;28;
EIVOR;12;20;15;8;15;16;21;9;9;7;
ELA;14;10;11;11;7;8;11;13;5;6;
ELDANA;8;7;5;6;11;8;5;4;:;4;
ELEA;37;20;23;19;19;17;15;12;6;10;
ELEAH;24;23;21;20;13;11;4;4;6;4;
ELENA;61;58;52;64;55;67;48;38;37;45;
ELEONORA;10;9;:;:;:;4;:;5;7;:;
ELI;14;7;9;6;10;11;7;6;8;7;
ELIANA;25;19;24;18;11;16;12;4;6;6;
ELIDA;51;80;74;69;80;77;57;48;40;47;
ELIF;7;9;16;12;8;5;5;5;8;6;
ELIN;23;33;19;24;33;29;27;30;23;24;
ELINA;49;44;48;50;34;52;49;52;41;35;
ELINE;158;160;148;171;141;179;173;170;175;156;
ELINOR;4;12;9;8;8;5;:;:;6;6;
ELISA;26;28;31;28;27;36;32;31;21;24;
ELISABETH;38;43;48;50;42;40;55;52;58;54;
ELISE;138;165;139;178;141;207;196;193;210;196;
ELIZA;9;8;9;8;8;19;10;13;17;9;
ELIZABETH;9;14;17;9;9;14;10;16;13;4;
ELLA;319;314;339;319;310;294;279;275;231;217;
ELLE;9;8;11;6;12;15;7;10;9;12;
ELLEN;32;33;36;22;35;27;29;35;49;33;
ELLI;12;9;13;5;6;4;5;:;6;:;
ELLIE;85;78;76;41;28;18;20;17;9;:;
ELLINOR;117;121;115;102;80;63;58;72;49;34;
ELLY;11;7;11;13;4;7;7;5;7;6;
ELMA;11;10;14;10;9;8;:;7;7;5;
ELSA;30;40;45;48;32;24;17;18;16;23;
ELSE;17;17;12;12;17;10;17;13;10;8;
ELVINE;10;8;5;5;11;6;7;:;4;:;
ELVIRA;52;57;75;79;61;67;48;56;70;44;
EMA;22;20;15;10;16;9;8;17;12;7;
EMBLA;30;32;28;38;36;23;33;26;32;28;
EMELI;5;4;6;11;5;9;6;5;6;4;
EMELIE;5;:;5;6;10;7;7;8;11;10;
EMELY;9;8;8;11;12;12;19;10;15;14;
EMILIA;107;118;112;114;86;69;78;66;72;59;
EMILIE;285;306;318;359;310;344;353;399;407;335;
EMILIJA;13;12;10;16;17;10;18;21;16;11;
EMILY;86;99;105;129;122;113;93;97;77;76;
EMINA;6;8;10;7;10;21;11;12;7;12;
EMINE;36;34;39;42;45;43;41;37;17;24;
EMMA;380;410;458;435;435;453;486;522;603;608;
EMMELI;22;22;12;22;15;11;12;10;4;11;
EMMELIN;6;6;9;5;9;8;6;10;8;6;
EMMELINE;11;10;15;15;16;18;18;14;11;6;
EMMI;:;5;:;10;:;4;4;5;:;:;
EMMIE;8;10;5;9;8;4;:;5;:;4;
EMMY;15;14;18;15;15;13;12;12;14;9;
ENYA;17;11;10;15;18;10;4;12;19;13;
ERICA;10;7;15;14;17;22;27;17;23;27;
ERIKA;12;30;35;28;35;43;41;40;42;48;
ERLE;83;83;83;66;82;81;87;74;102;94;
ESTER;20;17;8;12;11;17;17;13;14;11;
ESTHER;26;33;22;24;33;23;14;10;15;17;
EVA;152;130;108;117;139;110;119;97;100;87;
EVELINA;22;29;18;18;22;15;19;20;18;14;
EVELYN;18;21;33;30;27;27;19;7;10;12;
FANNY;12;8;11;:;11;9;7;10;5;12;
FARAH;:;4;5;5;5;:;10;5;6;5;
FATIMA;40;41;47;41;43;47;46;43;37;40;
FATMA;:;:;:;6;5;7;10;5;7;:;
FELICIA;15;16;11;17;15;14;15;15;14;29;
FILIPPA;57;68;46;49;43;53;57;49;39;43;
FIONA;21;23;27;21;17;12;13;13;13;21;
FREDRIKKE;9;13;7;12;14;15;10;14;6;7;
FREJA;14;10;12;15;10;8;12;7;12;7;
FREYA;15;31;25;20;17;13;21;15;18;14;
FREYJA;8;7;11;12;9;6;7;5;4;5;
FRIDA;250;227;242;260;231;242;243;247;244;255;
FRIDE;25;16;18;16;19;24;27;29;11;14;
FRØYA;56;54;59;49;25;42;30;29;41;29;
FRØYDIS;4;5;4;5;:;:;4;:;:;11;
GABIJA;7;5;11;11;8;7;10;9;11;9;
GABRIELA;6;16;13;11;13;18;12;20;19;14;
GABRIELE;6;9;5;9;13;9;6;6;5;12;
GABRIELLA;13;13;22;17;21;30;28;27;21;30;
GABRIELLE;5;8;:;11;11;10;8;8;6;:;
GINA;10;5;8;7;13;12;11;15;10;20;
GODA;:;9;6;6;5;6;9;6;7;10;
GRACE;10;9;4;7;5;6;6;4;5;8;
GRETA;:;8;6;9;7;11;13;12;12;9;
GUNHILD;8;4;11;6;4;5;7;10;4;6;
GURO;16;23;28;12;24;34;32;39;52;50;
HAFSA;9;13;7;14;8;18;12;15;10;18;
HAILEY;18;10;15;12;5;10;8;6;7;:;
HALA;:;:;:;5;10;:;10;10;7;16;
HALIMA;7;6;6;9;5;11;6;4;4;6;
HANA;15;7;11;8;12;13;19;16;14;12;
HANAN;5;5;10;6;6;12;8;7;10;7;
HANNA;154;165;167;168;173;192;205;195;217;191;
HANNAH;87;97;84;90;117;116;124;127;166;182;
HANNE;13;15;21;26;22;30;22;36;45;47;
HEDDA;202;188;211;212;191;219;180;213;186;229;
HEDVIG;53;44;36;47;44;53;30;39;30;43;
HEIDI;16;20;17;21;29;34;18;28;26;26;
HELEN;7;9;7;14;10;11;7;13;13;13;
HELENA;53;56;47;63;72;74;74;83;64;71;
HELENE;63;69;92;86;111;100;121;127;129;200;
HELIN;4;7;6;14;5;7;9;11;11;9;
HELLE;50;45;53;41;67;60;48;54;48;57;
HELMINE;:;5;7;11;:;4;8;8;7;7;
HENNIE;63;84;48;48;44;26;31;19;17;26;
HENNY;18;33;19;32;30;28;19;19;25;13;
HENRIETTE;20;19;33;42;36;37;59;85;73;74;
HENRIKKE;:;7;8;6;7;4;6;:;9;12;
HERMINE;71;85;69;89;93;100;87;61;54;47;
HIBA;:;:;5;6;6;4;10;5;5;4;
HILDE;5;:;4;5;:;11;8;7;6;9;
IBEN;189;163;115;94;92;96;81;57;51;64;
IDA;239;240;265;298;300;333;320;386;430;427;
IDUN;8;14;11;9;9;8;16;12;13;13;
IDUNN;10;8;7;15;11;8;7;16;5;5;
IMAN;12;13;11;18;21;15;24;12;25;19;
INA;15;24;13;15;33;36;24;40;43;44;
INAYA;8;10;8;10;14;12;6;5;5;:;
INE;39;34;31;29;43;29;37;41;55;44;
INES;10;8;15;8;22;16;12;9;20;13;
INGA;23;14;24;29;24;26;27;15;25;32;
INGEBJØRG;9;9;5;4;6;6;11;10;4;14;
INGEBORG;68;65;80;82;96;97;99;104;123;130;
INGER;23;14;26;17;13;20;21;26;26;23;
INGRID;267;294;278;309;325;354;358;399;385;363;
INGVILD;36;34;26;38;37;48;37;44;50;48;
IRENE;:;4;7;9;5;5;11;7;12;10;
IRIS;43;55;44;53;56;38;45;63;48;34;
IRMELIN;4;8;:;12;6;10;10;7;6;4;
ISA;10;13;11;10;5;10;17;14;15;23;
ISABEL;33;28;31;56;43;77;70;53;66;64;
ISABELL;41;36;53;76;72;77;74;62;55;67;
ISABELLA;90;94;109;120;138;135;133;152;116;121;
ISABELLE;35;44;39;33;45;41;41;32;41;42;
ISELIN;21;17;20;30;28;48;47;70;85;81;
ISRA;10;8;18;11;11;14;8;10;8;4;
JANA;10;13;11;17;18;17;12;21;7;6;
JANNE;4;5;:;10;:;6;7;13;14;15;
JASMIN;18;17;21;11;22;15;13;20;16;15;
JASMINE;8;8;6;8;14;8;13;9;11;5;
JENNIE;9;6;14;12;11;12;17;17;13;12;
JENNIFER;5;9;4;7;8;5;11;11;12;8;
JENNY;207;219;256;226;203;187;215;216;203;176;
JESSICA;11;25;12;26;23;35;34;46;27;44;
JOANNA;6;9;7;9;6;12;7;8;:;6;
JOHANNA;65;68;76;72;87;76;76;86;82;74;
JOHANNE;107;107;90;108;104;111;97;117;125;114;
JOSEFINE;119;97;100;80;113;109;95;96;93;87;
JOSEPHINE;17;19;10;11;19;19;13;7;12;14;
JULIA;101;137;145;137;180;185;179;171;179;174;
JULIANE;:;9;:;5;10;6;:;11;11;11;
JULIANNE;4;12;9;:;13;10;10;11;14;16;
JULIE;184;223;227;296;306;293;341;347;378;359;
JUNE;20;14;13;17;23;25;27;36;29;32;
JUNI;:;8;5;4;6;:;4;15;11;11;
KAIA;29;22;25;20;31;18;32;31;38;59;
KAISA;9;15;9;16;11;12;18;23;17;25;
KAJA;82;92;81;70;83;89;89;122;130;120;
KAJSA;5;9;11;10;13;11;16;17;31;26;
KAMILA;9;6;12;:;7;6;7;6;7;6;
KAMILE;11;11;7;11;13;9;11;10;14;9;
KAMILLA;18;28;21;25;22;27;22;32;33;49;
KAREN;33;37;24;28;45;43;33;51;46;50;
KARI;22;27;21;16;25;31;23;19;30;29;
KARIANNE;:;6;:;4;6;9;7;8;7;11;
KARIN;7;5;7;12;10;9;9;8;5;5;
KARINA;11;15;21;22;12;17;16;25;22;30;
KARINE;5;5;7;:;:;10;5;6;6;5;
KARLA;15;14;12;10;12;4;7;9;9;6;
KAROLINA;9;12;8;18;15;22;18;18;27;23;
KAROLINE;45;45;89;66;105;100;99;118;130;120;
KATARINA;7;8;8;19;9;:;14;15;12;12;
KATHRINE;:;:;5;:;8;5;:;7;10;10;
KATRINE;4;6;11;5;5;9;13;17;23;17;
KAYA;4;5;7;4;:;8;7;6;7;11;
KAYLA;6;:;8;7;7;7;11;6;8;8;
KHADIJA;11;18;14;9;13;17;7;9;7;12;
KINE;11;4;5;14;12;25;23;34;27;45;
KIRA;10;13;11;6;8;12;6;14;7;17;
KLARA;67;64;58;47;47;52;43;37;39;33;
KONSTANSE;10;13;6;:;:;:;6;:;5;:;
KORNELIA;22;34;46;24;28;26;31;31;20;23;
KRISTIANE;4;5;6;9;10;5;17;18;16;18;
KRISTIN;16;25;18;24;23;20;28;38;35;34;
KRISTINA;17;19;41;28;23;52;45;45;53;52;
KRISTINE;37;49;44;45;47;63;70;82;96;108;
LAIBA;:;:;:;:;:;5;7;11;7;8;
LAILA;12;8;11;6;11;13;11;15;8;12;
LAMAR;7;7;5;12;8;:;6;:;5;:;
LANA;19;16;20;18;15;16;22;13;16;14;
LARA;12;21;23;28;25;28;27;31;24;17;
LAURA;56;48;52;48;39;44;49;42;37;43;
LEA;73;65;71;66;65;79;77;85;75;87;
LEAH;197;209;244;241;218;261;255;268;267;295;
LEANA;8;7;10;11;14;11;7;10;13;:;
LEILA;4;:;:;10;:;:;8;7;9;7;
LEJA;13;20;15;15;8;6;11;5;4;:;
LENA;46;53;56;87;76;72;74;69;66;46;
LENE;4;6;11;5;6;10;10;8;19;24;
LENI;5;5;:;14;7;:;7;7;5;10;
LEONA;21;24;35;36;36;22;24;28;38;37;
LEONORA;64;68;53;50;32;30;46;43;31;28;
LERKE;11;11;12;10;15;19;20;8;16;8;
LEYLA;4;6;4;4;7;4;10;4;4;:;
LIA;9;7;7;13;7;11;11;9;5;:;
LIANA;17;14;17;13;7;17;10;18;13;6;
LIEPA;7;5;13;:;6;:;9;4;5;5;
LILIANA;20;20;23;19;9;15;7;8;9;5;
LILJA;25;41;39;52;62;59;35;54;43;33;
LILJE;11;14;14;16;16;13;12;12;7;6;
LILLI;23;31;27;29;16;28;22;18;25;14;
LILLIAN;12;26;13;19;19;17;17;16;12;12;
LILLIE;:;6;10;4;4;8;8;5;:;4;
LILLY;172;188;181;173;161;173;122;119;97;74;
LILY;40;49;53;51;41;55;44;29;37;21;
LINA;59;58;64;55;60;82;81;82;78;88;
LINDA;8;8;9;8;13;9;17;17;22;23;
LINDE;:;4;12;10;17;12;7;9;12;6;
LINE;15;21;17;15;21;31;29;32;30;39;
LINEA;32;28;30;41;44;60;52;73;68;97;
LINN;11;21;21;17;17;18;22;37;32;50;
LINNEA;178;224;234;280;269;355;319;389;395;504;
LISA;34;44;50;60;62;73;93;86;111;95;
LISE;13;14;19;17;15;18;23;28;33;34;
LIV;100;101;85;81;68;63;77;86;85;68;
LIVA;25;24;23;22;18;19;27;24;20;17;
LIVE;177;151;144;132;149;177;123;115;101;92;
LIVIA;23;27;19;11;15;14;11;15;5;4;
LONE;23;23;19;20;26;27;27;38;25;25;
LOTTA;27;38;29;31;39;52;49;42;34;41;
LOTTE;69;76;70;79;78;85;64;72;68;58;
LOUISA;5;12;13;9;8;7;8;5;7;6;
LOUISE;65;69;85;68;67;63;67;70;60;51;
LOVISE;20;27;26;27;25;25;25;19;22;15;
LUCA;8;8;5;4;:;10;6;:;4;:;
LUCIA;8;12;10;8;12;9;13;11;6;10;
LUCY;12;18;14;11;9;10;10;7;12;10;
LUKA;8;10;12;:;11;8;4;4;:;:;
LUNA;87;76;79;55;63;73;56;48;73;47;
LYCKE;13;11;18;19;22;8;12;13;5;:;
LYDIA;37;35;29;36;36;27;16;20;21;15;
LYKKE;63;70;85;80;105;91;87;82;65;41;
LÆRKE;6;9;10;6;7;4;9;5;11;6;
MADELEINE;21;34;47;38;48;53;52;44;59;69;
MADELEN;54;60;66;64;74;56;110;61;81;85;
MADELENE;:;:;:;:;4;5;4;9;11;5;
MAGDALENA;4;9;6;10;9;4;13;12;15;16;
MAIA;35;36;34;35;41;35;58;50;42;45;
MAIDA;16;19;14;12;16;12;7;12;7;4;
MAIKEN;57;63;55;53;41;67;66;65;56;57;
MAJA;201;204;207;221;218;233;267;276;289;217;
MALAK;6;:;7;13;12;17;13;11;15;7;
MALENA;13;8;9;6;9;9;8;6;16;6;
MALENE;30;35;38;39;50;47;66;58;61;76;
MALI;30;42;31;46;36;52;52;59;85;31;
MALIN;84;84;132;137;147;173;196;191;258;251;
MARCELINA;11;4;:;5;:;:;:;:;:;:;
MAREN;48;69;61;58;81;85;88;119;115;129;
MARGIT;7;8;12;14;17;6;8;10;13;5;
MARGRETHE;13;12;15;13;7;24;17;23;22;24;
MARI;95;122;119;119;121;136;174;171;161;198;
MARIA;207;194;198;217;247;246;300;274;343;365;
MARIAM;18;23;26;30;23;23;38;28;30;20;
MARIANNE;4;:;6;10;8;11;6;7;16;20;
MARIE;172;166;201;184;189;212;218;240;221;230;
MARIEL;5;4;4;5;6;5;9;5;12;11;
MARIELL;18;17;19;33;27;38;27;45;38;46;
MARIELLE;8;19;12;20;28;26;27;33;44;31;
MARINA;9;10;10;15;11;7;15;13;15;20;
MARION;17;15;25;30;28;23;23;26;17;18;
MARIT;9;13;18;14;21;13;24;24;19;24;
MARITA;:;5;6;5;7;7;7;12;9;9;
MARLENE;9;7;9;9;9;19;8;20;19;12;
