;label;name
250;LOC;Antigua/Barb.
251;LOC;Am. Samoa
252;LOC;Bosnia-Herceg
253;LOC;St.Barthelemy
254;LOC;Brunei
255;LOC;Kokosøyene
256;LOC;Sentr.Af.Rep.
257;LOC;Elfenbenskyst
258;LOC;Dominik. Rep.
259;LOC;Falklandsøyer
260;LOC;Micronesia
261;LOC;Ekv.- Guinea
262;LOC;Sør-Georgia
263;LOC;Heard/McDona
264;LOC;Isle of Man
265;LOC;Chagosøyene
266;LOC;St.Kitts-Nev.
267;LOC;St. MartinFR
268;LOC;Myanmar
269;LOC;N. Marianene
270;LOC;Fr. Polynesia
271;LOC;Papua Ny-Gu.
272;LOC;St.PierreMiq
273;LOC;Vestbr/Gazast
274;LOC;Sao Tome/Pri.
275;LOC;Turks/Caicos
276;LOC;Fr. Sørl.Ter.
277;LOC;Tadshikistan
278;LOC;Trinid/Tobago
279;LOC;USA min. u.øy
280;LOC;U S A
281;LOC;St.Vinc./Gren
282;LOC;Jomfruøy GB
283;LOC;Jomfruøy US
284;LOC;Wallis/Futuna
285;LOC;Ceuta/Melilla
286;LOC;I Alt
287;LOC;Halden
288;LOC;Sponvika
289;LOC;Isebakke
290;LOC;Hasle
291;LOC;Stikkaåsen
292;LOC;Fredrikstad
293;LOC;Sarpsborg 
294;LOC;Moss 
295;LOC;Såstadbråten
296;LOC;Skjærhalden
297;LOC;Rød
298;LOC;Hauge
299;LOC;Utgård
300;LOC;Norderhaug
301;LOC;Skivika 
302;LOC;Glosli
303;LOC;Holm
304;LOC;Ise
305;LOC;Skjeberg
306;LOC;Høysand
307;LOC;Ørje
308;LOC;Skjønhaug
309;LOC;Hamnås
310;LOC;Heiås
311;LOC;Spydeberg 
312;LOC;Askim
313;LOC;Mysen
314;LOC;Slitu
315;LOC;Trømborg
316;LOC;Finnestad
317;LOC;Jansberg
318;LOC;Skiptvet
319;LOC;Rakkestad
320;LOC;Degernes
321;LOC;Jelsnes
322;LOC;Rostadneset
323;LOC;Alshus
324;LOC;Buskogen
325;LOC;Trolldalen
326;LOC;Øyenkilen
327;LOC;Slevik
328;LOC;Lervik
329;LOC;Spetalen 
330;LOC;Karlshus
331;LOC;Missingmyr
332;LOC;Tomb
333;LOC;Ryggebyen 
334;LOC;Larkollen
335;LOC;Kirkegrenda
336;LOC;Fuglevik
337;LOC;Møvik
338;LOC;Kirkebygden
339;LOC;Våk
340;LOC;Svinndal
341;LOC;Tomter
342;LOC;Ringvoll
343;LOC;Hølen
344;LOC;Vestby
345;LOC;Siggerud
346;LOC;Ski 
347;LOC;Kråkstad
348;LOC;Skotbu
349;LOC;Sandvoll
350;LOC;Ås
351;LOC;Drøbak
352;LOC;Nesoddtangen
353;LOC;Fjellstrand
354;LOC;Fagerstrand
355;LOC;Torvik
356;LOC;Lommedalen
357;LOC;Heggedal 
358;LOC;Konglungen
359;LOC;Aursmoen
360;LOC;Bjørkelangen
361;LOC;Løken
362;LOC;Momoen
363;LOC;Hemnes
364;LOC;Blaker
365;LOC;Hogsetfeltet
366;LOC;Sørumsand
367;LOC;Lørenfallet
368;LOC;Lindeberg
369;LOC;Frogner
370;LOC;Lundermoen
371;LOC;Åkrene
372;LOC;Fetsund
373;LOC;Fjellsrud
374;LOC;Østersund
375;LOC;Flateby
376;LOC;Ytre Enebakk
377;LOC;Kirkebygda
378;LOC;Leirsund 
379;LOC;Hellerud
380;LOC;Åneby
381;LOC;Rotnes
382;LOC;Løstad
383;LOC;Grønlund
384;LOC;Kløfta
385;LOC;Sand
386;LOC;Sessvollmoen
387;LOC;Nordkisa
388;LOC;Borgen
389;LOC;Algarheim
390;LOC;Jessheim
391;LOC;Opakermoen
392;LOC;Årnes
393;LOC;Haga
394;LOC;Fjellfoten
395;LOC;Skogrand
396;LOC;Brårud
397;LOC;Vormsund
398;LOC;Tomteråsen
399;LOC;Kampå
400;LOC;Minnesund
401;LOC;Langset
402;LOC;Eidsvoll
403;LOC;Finnbråtan
404;LOC;Råholt 
405;LOC;Maura
406;LOC;Teigebyen
407;LOC;Åsgrenda
408;LOC;Løkenfeltet
409;LOC;Eltonåsen
410;LOC;Prestegårdshagen
411;LOC;Torget
412;LOC;Smestad
413;LOC;Fjellstad
414;LOC;Aulifeltet 
415;LOC;Neskollen
416;LOC;Bjertnestunet
417;LOC;Oslo 
418;LOC;Movatn
419;LOC;Hamar 
420;LOC;Ingeberg
421;LOC;Blæstadgrenda
422;LOC;Kongsvinger
423;LOC;Roverud
424;LOC;Brumunddal
425;LOC;Tingnes
426;LOC;Moelv
427;LOC;Kylstad
428;LOC;Mesnali
429;LOC;Stavsjø
430;LOC;Slemsrud
431;LOC;Ådalsbruk
432;LOC;Løten
433;LOC;Løiten Brænderi
434;LOC;Tangen
435;LOC;Stange
436;LOC;Sørbygdafeltet
437;LOC;Ilseng 
438;LOC;Gata
439;LOC;Romedal Sentrum
440;LOC;Bekkelaget
441;LOC;Mo
442;LOC;Skarnes
443;LOC;Sander
444;LOC;Disenå
445;LOC;Skotterud
446;LOC;Magnor
447;LOC;Namnå
448;LOC;Kirkenær
449;LOC;Flisa
450;LOC;Kjellmyra
451;LOC;Sønsterud
452;LOC;Våler
453;LOC;Braskereidfoss
454;LOC;Elverum
455;LOC;Nybergsund
456;LOC;Innbygda
457;LOC;Rena
458;LOC;Koppang
459;LOC;Otnes
460;LOC;Tolga
461;LOC;Tynset
462;LOC;Alvdal
463;LOC;Folldal
464;LOC;Os
465;LOC;Lillehammer
466;LOC;Jørstadmoen
467;LOC;Fåberg
468;LOC;Vingrom
469;LOC;Vingnes
470;LOC;Gjøvik
471;LOC;Bybrua
472;LOC;Biri
473;LOC;Monssveen
474;LOC;Dombås
475;LOC;Bismo
476;LOC;Fossbergom
477;LOC;Vågåmo
478;LOC;Lalm
479;LOC;Vinstra
480;LOC;Kvam
481;LOC;Otta
482;LOC;Dale
483;LOC;Bjølstad
484;LOC;Sandbumoen
485;LOC;Hundorp
486;LOC;Harpefoss
487;LOC;Lia
488;LOC;Ringebu
489;LOC;Fåvang
490;LOC;Granrudmoen
491;LOC;Tretten
492;LOC;Segalstad Bru
493;LOC;Follebu
494;LOC;Forset
495;LOC;Kapp
496;LOC;Sletta
497;LOC;Lena
498;LOC;Skreia
499;LOC;Lensbygda
500;LOC;Kolbu
501;LOC;Nordlia
502;LOC;Reinsvoll
503;LOC;Bøverbru
504;LOC;Eina
505;LOC;Raufoss 
506;LOC;Jevnaker
507;LOC;Lunner
508;LOC;Roa
509;LOC;Grua
510;LOC;Harestua
511;LOC;Brandbu
512;LOC;Jaren
513;LOC;Gran
514;LOC;Ringstad
515;LOC;Hov
516;LOC;Dokka
517;LOC;Bagn
518;LOC;Fagernes
519;LOC;Leira
520;LOC;Aurdal
521;LOC;Røn
522;LOC;Slidre
523;LOC;Moane
524;LOC;Beitostølen
525;LOC;Heggenes
526;LOC;Bruflat
527;LOC;Drammen 
528;LOC;Hvittingfoss
529;LOC;Kongsberg
530;LOC;Vang
531;LOC;Tyristrand
532;LOC;Sokna
533;LOC;Hallingby
534;LOC;Norderhov
535;LOC;Hønefoss
536;LOC;Nakkerud
537;LOC;Steinsåsen
538;LOC;Helgelandsmoen 
539;LOC;Gomnes
540;LOC;Kroksund
541;LOC;Sundvollen
542;LOC;Nesbyen
543;LOC;Gol
544;LOC;Hemsedal
545;LOC;Svøo
546;LOC;Ål
547;LOC;Torpo
548;LOC;Hol
549;LOC;Geilo
550;LOC;Krøderen
551;LOC;Noresund
552;LOC;Vikersund
553;LOC;Åmot
554;LOC;Geithus
555;LOC;Sysle
556;LOC;Darbu
557;LOC;Vestfossen
558;LOC;Skotselv
559;LOC;Ormåsen
560;LOC;Sylling
561;LOC;Tranby
562;LOC;Oddevall
563;LOC;Sjåstad
564;LOC;Fagerliåsen
565;LOC;Poverudbyen
566;LOC;Askgrenda
567;LOC;Nærnes
568;LOC;Åros
569;LOC;Røyken
570;LOC;Hyggen
571;LOC;Klokkarstua
572;LOC;Holmsbu
573;LOC;Sætre 
574;LOC;Tofte
575;LOC;Rødberg
576;LOC;Prestfoss
577;LOC;Lampeland
578;LOC;Svene
579;LOC;Veggli
580;LOC;Holmestrand
581;LOC;Gullhaug
582;LOC;Horten
583;LOC;Tønsberg 
584;LOC;Vollen
585;LOC;Sandefjord
586;LOC;Hem
587;LOC;Larvik
588;LOC;Tveteneåsen
589;LOC;Stavern
590;LOC;Berger 
591;LOC;Svelvik 
592;LOC;Nesbygda
593;LOC;Selvik
594;LOC;Sande
595;LOC;Klevjer
596;LOC;Ekeberg
597;LOC;Hof
598;LOC;Sundbyfoss
599;LOC;Kirkevoll
600;LOC;Brekkeåsen
601;LOC;Revetal
602;LOC;Bergsåsen
603;LOC;Linnestad
604;LOC;Skjeggestadåsen
605;LOC;Solerød
606;LOC;Nykirke
607;LOC;Skoppum
608;LOC;Åsgårdstrand 
609;LOC;Kodal
610;LOC;Andebu
611;LOC;Høyjord
612;LOC;Vear 
613;LOC;Melsomvik
614;LOC;Stokke
615;LOC;Fossnes
616;LOC;Brunstad
617;LOC;Sem 
618;LOC;Barkåker
619;LOC;Kjøpmannsskjær
620;LOC;Årøysund
621;LOC;Glomstein
622;LOC;Tjøme
623;LOC;Hvasser
624;LOC;Lauve
625;LOC;Viksjord
626;LOC;Helgeroa
627;LOC;Nevlunghamn
628;LOC;Verningen
629;LOC;Kvelde
630;LOC;Svarstad
631;LOC;Langangen
632;LOC;Sandøya
633;LOC;Porsgrunn
634;LOC;Skien 
635;LOC;Sneltvedt
636;LOC;Notodden
637;LOC;Yli
638;LOC;Siljan
639;LOC;Snurråsen
640;LOC;Øverbø
641;LOC;Herre
642;LOC;Botten
643;LOC;Kil
644;LOC;Kragerø
645;LOC;Vadfoss
646;LOC;Helle
647;LOC;Preststranda
648;LOC;Neslandsvatn
649;LOC;Bjervamoen
650;LOC;Ulefoss
651;LOC;Bø
652;LOC;Folkestad
653;LOC;Hjukse
654;LOC;Nordagutu
655;LOC;Gvarv
656;LOC;Tinn Austbygd
657;LOC;Rjukan
658;LOC;Miland
659;LOC;Seljord
660;LOC;Kviteseid
661;LOC;Tveitsund
662;LOC;Fyresdal
663;LOC;Dalen
664;LOC;Krossen
665;LOC;Risør
666;LOC;Arendal 
667;LOC;Longum
668;LOC;Grimstad
669;LOC;Jortveit
670;LOC;Tvedestrand
671;LOC;Nesgrenda
672;LOC;Kilsund
673;LOC;Blakstad
674;LOC;Rykene 
675;LOC;Lillesand
676;LOC;Høvåg
677;LOC;Birkeland
678;LOC;Åmli
679;LOC;Evje
680;LOC;Byglandsfjord
681;LOC;Valle
682;LOC;Hovden
683;LOC;Bykle
684;LOC;Gjerstad
685;LOC;Eikeland
686;LOC;Myra
687;LOC;Ubergsmoen
688;LOC;Skålevik
689;LOC;Kristiansand
690;LOC;Tveit
691;LOC;Korsvik
692;LOC;Mandal
693;LOC;Sånum
694;LOC;Farsund
695;LOC;Vanse
696;LOC;Vestbygda
697;LOC;Flekkefjord
698;LOC;Sira
699;LOC;Skarpengland
700;LOC;Vennesla 
701;LOC;Hægeland
702;LOC;Slettebrotane
703;LOC;Nodeland
704;LOC;Volleberg
705;LOC;Brennåsen
706;LOC;Søgne
707;LOC;Ausvika
708;LOC;Øyslebø
709;LOC;Høllen
710;LOC;Vigeland
711;LOC;Svennevik
712;LOC;Lyngdal
713;LOC;Skomrak
714;LOC;Svenevik
715;LOC;Feda
716;LOC;Liknes
717;LOC;Tonstad
718;LOC;Byremo
719;LOC;Egersund
720;LOC;Hellvik
721;LOC;Vatne
722;LOC;Hommersåk
723;LOC;Sviland
724;LOC;Høle
725;LOC;Stavanger
726;LOC;Sandnes 
727;LOC;Krossberg
728;LOC;Vassøy
729;LOC;Haugesund 
730;LOC;Moi
731;LOC;Vikeså
732;LOC;Nærbø
733;LOC;Varhaug
734;LOC;Vigrestad
735;LOC;Brusand
736;LOC;Sirevåg
737;LOC;Ogna
738;LOC;Hæen
739;LOC;Nærland
740;LOC;Pollestad
741;LOC;Kleppe
742;LOC;Verdalen
743;LOC;Bryne 
744;LOC;Kvernaland 
745;LOC;Undheim
746;LOC;Lyefjell
747;LOC;Ålgård
748;LOC;Figgjo 
749;LOC;Oltedal
750;LOC;Gilja
751;LOC;Hålandsmarka
752;LOC;Stenebyen
753;LOC;Kolnes
754;LOC;Jørpeland
755;LOC;Tau
756;LOC;Hjelmelandsvågen
757;LOC;Sauda
758;LOC;Judaberg
759;LOC;Ydstebøhamn
760;LOC;Førdesfjorden
761;LOC;Aksdal
762;LOC;Nedstrand
763;LOC;Østenstad
764;LOC;Slåttevik
765;LOC;Grinde
766;LOC;Skre 
767;LOC;Åkrehamn
768;LOC;Sandve
769;LOC;Skudeneshavn
770;LOC;Kopervik
771;LOC;Våre
772;LOC;Avaldsnes
773;LOC;Visnes
774;LOC;Skjold
775;LOC;Sandeid
776;LOC;Vikedal
777;LOC;Vikevåg
778;LOC;Østhusvik
779;LOC;Askje
780;LOC;Bru
781;LOC;Ferkingstad
782;LOC;Forsand
783;LOC;Bokn
784;LOC;Bergen
785;LOC;Arna
786;LOC;Espeland
787;LOC;Fanahammeren
788;LOC;Etne
789;LOC;Skånevik
790;LOC;Ølen
791;LOC;Ølensvåg
792;LOC;Sveio
793;LOC;Rophus
794;LOC;Langevåg
795;LOC;Mosterhamn
796;LOC;Rubbestadneset
797;LOC;Svortland
798;LOC;Melandsvågen
799;LOC;Foldrøy
800;LOC;Steinvåg
801;LOC;Leirvik
802;LOC;Sagvåg
803;LOC;Fitjar
804;LOC;Rosendal
805;LOC;Seimsfoss
806;LOC;Dimmelsvik
807;LOC;Uskedal
808;LOC;Herøysund
809;LOC;Husnes
810;LOC;Sunde
811;LOC;Valen
812;LOC;Sæbøvik
813;LOC;Jondal
814;LOC;Skarde
815;LOC;Odda
816;LOC;Tyssedal
817;LOC;Røldal
818;LOC;Lofthus
819;LOC;Kinsarvik
820;LOC;Eidfjord
821;LOC;Ulvik
822;LOC;Vossevangen
823;LOC;Skulestadmoen
824;LOC;Mønshaugen-Bjørgum
825;LOC;Ålvik
