navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
DIEGO;:;4;6;11;:;4;:;:;5;:;
DOMAS;4;10;5;6;4;6;11;:;:;6;
DOMINIC;:;13;8;10;15;13;6;6;6;5;
DOMINIK;7;12;13;7;12;17;14;15;16;11;
DOMINYKAS;9;10;10;13;8;13;13;4;7;6;
DOVYDAS;:;6;:;:;7;11;6;9;6;10;
DYLAN;9;8;11;7;5;8;6;6;7;8;
EBBE;21;7;9;5;:;6;4;4;4;4;
EDGAR;14;18;8;10;4;11;12;4;7;7;
EDIN;11;5;8;10;5;8;13;9;8;6;
EDMUND;11;8;7;10;8;6;5;:;7;:;
EDVALD;9;5;6;5;4;10;5;:;:;:;
EDVARD;109;122;97;107;138;119;118;83;89;82;
EDVIN;93;67;87;67;56;49;39;35;36;32;
EDWARD;25;31;29;34;34;38;35;30;16;21;
EDWIN;28;35;23;24;21;32;12;16;13;:;
EIK;8;12;9;7;9;11;5;:;5;7;
EILEV;15;16;5;4;5;:;7;:;:;4;
EILIF;13;13;8;8;7;9;8;6;7;5;
EINAR;49;76;74;53;68;57;68;47;59;51;
EIRIK;84;111;136;119;148;171;201;184;198;209;
EIVIND;53;47;50;59;45;62;88;81;66;78;
ELDAR;14;13;20;11;11;16;10;8;10;10;
ELIAH;24;25;18;21;19;22;11;12;12;15;
ELIAN;20;16;14;16;12;5;9;9;:;:;
ELIAS;349;335;341;322;320;326;349;371;350;342;
ELIJAH;14;15;8;8;10;7;7;8;5;5;
ELLING;6;7;5;4;10;9;:;4;7;:;
ELLIOT;67;53;59;66;43;32;29;30;31;22;
ELLIOTT;12;11;5;5;7;8;10;9;:;:;
ELMER;11;6;10;6;5;:;:;8;:;:;
ELVIN;8;9;10;9;4;7;6;9;5;5;
EMANUEL;11;18;22;15;9;14;10;16;18;16;
EMIL;397;379;365;426;328;417;487;537;490;466;
EMILIAN;72;69;72;59;82;66;80;66;40;31;
EMILIO;11;11;14;19;12;15;8;9;13;11;
EMILIS;9;9;18;13;10;12;8;10;8;6;
EMIN;8;:;10;10;5;9;:;7;5;6;
EMIR;21;22;12;16;15;14;18;10;10;5;
EMMANUEL;:;7;6;8;10;7;7;10;9;7;
EMMETT;6;7;:;12;6;5;4;:;:;:;
EMRE;23;21;23;16;22;16;20;10;16;16;
EMRIK;103;112;108;106;90;48;63;55;38;25;
ENDRE;15;13;29;29;47;25;37;38;41;32;
EREN;:;:;7;:;4;:;4;10;6;7;
ERIC;16;23;14;19;17;27;28;21;16;33;
ERIK;135;186;179;183;212;204;218;226;227;218;
ERLEND;37;35;34;37;53;62;56;81;76;97;
ERLING;22;28;34;36;31;32;22;27;37;32;
ERYK;13;6;5;4;4;6;6;6;6;4;
ESKIL;47;50;44;49;52;70;91;83;98;119;
ESKILD;4;4;:;:;:;:;6;4;10;6;
ESPEN;17;14;22;18;16;14;22;20;36;36;
ETHAN;:;6;9;9;8;10;8;5;9;7;
EVAN;5;9;14;12;7;14;10;8;8;11;
EVEN;168;168;188;163;159;173;168;179;197;161;
FABIAN;28;40;39;40;34;48;50;35;43;28;
FALK;18;14;23;25;13;12;15;7;15;5;
FELIX;180;185;195;148;155;144;113;108;134;127;
FERDINAND;20;24;34;22;24;29;31;37;26;29;
FILIP;210;209;222;201;267;178;207;202;220;173;
FILLIP;39;43;50;39;45;38;37;35;30;24;
FINN;22;32;29;27;19;24;14;19;22;26;
FRANCISZEK;19;21;17;20;15;5;14;15;10;6;
FRANK;5;13;15;7;6;11;8;5;8;7;
FREDERIK;6;8;6;6;8;9;12;14;8;15;
FREDRIK;141;146;154;154;146;199;225;188;247;248;
GABRIEL;142;143;153;151;166;196;187;182;183;182;
GARD;15;11;15;9;23;18;22;22;26;25;
GAUTE;12;12;12;21;11;29;17;20;16;28;
GEORG;61;56;53;45;54;35;35;33;30;37;
GUNNAR;14;9;15;12;7;18;12;8;13;16;
GUSTAS;:;9;:;4;11;8;5;11;:;:;
GUSTAV;123;116;122;106;103;106;68;86;74;60;
HAAKON;60;53;58;58;56;54;60;65;61;54;
HALLVARD;6;9;12;11;13;8;9;10;11;15;
HALVARD;9;:;12;9;13;11;11;5;15;12;
HALVOR;34;35;29;28;32;21;28;28;36;41;
HAMZA;18;25;24;25;34;24;36;37;34;27;
HANS;46;54;65;60;63;65;73;81;80;107;
HARALD;40;31;47;28;41;31;39;31;35;58;
HARUN;:;5;5;11;:;:;4;4;5;4;
HASAN;6;9;8;:;10;12;7;8;9;7;
HASSAN;14;8;15;17;19;14;20;19;13;25;
HAUK;8;6;12;14;:;14;5;10;19;8;
HEINE;30;33;29;26;45;38;34;46;56;42;
HELGE;10;5;8;9;9;9;8;8;12;7;
HELMER;28;34;35;31;23;8;13;5;:;6;
HENNING;14;9;15;12;16;20;21;24;25;23;
HENRIK;323;342;328;352;303;348;333;323;351;385;
