navn;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;
SVERRE;150;156;138;129;137;128;124;120;132;115;
SYED;12;13;6;10;12;7;7;11;11;5;
SYVER;35;27;35;36;32;29;32;27;28;27;
SØLVE;8;17;10;10;13;9;11;12;11;13;
SZYMON;15;14;12;13;12;16;13;30;19;18;
TAGE;13;11;16;19;14;20;11;18;20;15;
TAHA;:;5;5;:;6;12;7;9;7;17;
TALLAK;13;4;8;6;10;4;5;10;4;:;
TARJEI;24;23;16;14;21;26;22;17;16;14;
TELLEF;5;10;:;6;5;5;6;9;:;7;
TEO;22;27;25;14;20;21;16;20;22;27;
TEODOR;55;73;77;66;71;79;78;69;75;77;
TERJE;7;8;:;4;6;10;5;5;9;5;
THEO;176;173;177;185;191;187;200;153;166;138;
THEODOR;232;249;267;217;220;221;195;216;200;174;
THEODORE;7;9;6;5;6;10;6;5;6;7;
THOMAS;93;90;142;124;98;153;141;183;180;239;
THOR;44;44;40;57;48;38;32;25;28;30;
THORBJØRN;:;:;4;7;4;4;:;4;7;11;
THORVALD;15;17;15;9;13;6;6;8;12;:;
TIAN;7;16;9;11;9;14;21;14;:;:;
TIDEMANN;15;9;7;9;8;:;:;5;:;:;
TIM;13;24;25;21;36;27;28;35;36;36;
TIMIAN;9;9;8;8;12;17;18;20;28;21;
TINIUS;:;:;4;:;:;4;5;16;9;17;
TOBIAS;296;316;275;278;297;306;351;361;368;409;
TOM;10;12;17;19;19;17;11;24;21;29;
TOMAS;9;12;17;18;22;15;27;27;29;32;
TOMMY;6;5;7;10;14;11;18;20;17;16;
TONY;:;:;4;7;9;4;12;12;15;11;
TOR;33;47;35;28;47;43;31;40;44;47;
TORBEN;8;9;11;7;7;10;5;4;8;14;
TORBJØRN;18;24;24;23;26;19;23;30;19;27;
TORD;16;19;19;21;20;18;20;21;22;28;
TORE;:;7;7;16;6;6;13;9;9;16;
TORGEIR;:;6;5;:;4;5;11;:;:;9;
TORJE;5;7;7;14;10;19;11;17;15;18;
TORJUS;19;19;17;17;30;32;43;33;31;27;
TORMOD;7;12;4;10;9;14;12;8;11;20;
TORSTEIN;12;15;11;20;20;21;19;13;17;25;
TORVALD;11;11;6;:;6;6;7;4;5;7;
TRISTAN;10;7;15;19;29;25;27;30;40;25;
TROND;4;9;8;8;6;8;4;8;17;12;
TROY;7;10;13;15;11;13;14;17;19;16;
TRULS;8;16;13;9;12;15;16;24;26;38;
TRYGVE;45;48;41;43;36;41;52;46;34;33;
TRYM;72;97;117;117;130;125;136;146;171;169;
TYMON;10;11;14;5;5;8;6;6;:;5;
ULRIK;174;175;142;144;132;131;131;118;89;85;
VARG;20;16;15;9;28;25;15;17;11;13;
VEBJØRN;37;35;28;31;40;41;22;39;34;50;
VEGAR;:;4;4;5;9;6;4;9;17;12;
VEGARD;33;60;48;50;53;67;79;73;88;93;
VEMUND;27;34;27;33;24;33;24;24;36;28;
VETLE;112;105;99;134;121;110;112;131;133;131;
VICTOR;103;112;88;104;95;87;89;80;89;79;
VIDAR;:;6;6;6;10;8;5;5;5;7;
VIGGO;:;:;5;5;6;4;8;10;5;7;
VIKTOR;103;112;96;99;85;87;92;80;85;67;
VILHELM;11;12;11;4;8;6;7;11;:;5;
VILJAR;83;77;73;88;73;89;61;62;50;51;
VILMER;15;11;9;17;11;14;9;6;6;5;
VINCENT;20;40;42;36;34;24;32;24;19;26;
VINJAR;9;6;4;9;8;8;5;4;11;6;
WALTER;15;8;7;12;8;5;:;:;5;:;
WIKTOR;11;16;15;15;19;11;12;25;16;20;
WILHELM;42;49;35;31;34;29;33;24;22;15;
WILLIAM;383;524;485;450;441;418;399;469;450;414;
WILMER;20;24;20;12;18;10;10;10;13;5;
WOJCIECH;8;5;10;13;8;10;10;12;9;6;
YAHYA;8;5;12;11;14;12;10;4;17;13;
YASIN;8;9;10;13;7;9;10;15;6;12;
YASIR;4;7;10;7;6;:;8;6;4;7;
YAZAN;5;6;:;10;:;5;6;4;:;:;
YOSEF;9;12;4;13;9;10;10;6;7;9;
YOUNES;9;11;4;:;4;7;:;:;7;6;
YOUSEF;17;23;24;21;14;18;10;21;17;16;
YOUSSEF;11;9;7;11;10;11;13;10;9;6;
YUSUF;23;27;32;24;22;34;23;21;15;12;
ØRJAN;:;5;9;9;7;7;14;20;18;14;
ØYSTEIN;12;10;12;8;10;17;11;15;9;18;
ØYVIND;7;16;9;18;18;15;16;22;26;26;
ÅDNE;10;14;11;7;13;23;17;27;27;22;
ÅSMUND;23;21;22;19;14;27;22;23;17;22;
ZAKARIA;12;17;14;15;5;15;10;14;19;15;
ZAKARIYA;:;4;10;6;7;8;5;5;:;7;
