navn;Antall;
1137 OPEDAL;491;
1138 HØIBY;491;
1139 FALCK;491;
1140 BJØRVIK;491;
1141 AASBØ;491;
1142 LANDSVERK;490;
1143 SOMMERSETH;488;
1144 KOLNES;488;
1145 AANENSEN;488;
1146 ØSTERHUS;487;
1147 REIME;487;
1148 HUSØY;487;
1149 SVENNING;486;
1150 KROHN;486;
1151 KIRKEBY;486;
1152 KALAND;485;
1153 HAMMERSTAD;485;
1154 BRATBERG;485;
1155 BJØRNESTAD;485;
1156 AASGAARD;485;
1157 FRAFJORD;484;
1158 MUNDAL;483;
1159 LANGERUD;483;
1160 HELLEM;483;
1161 ERGA;483;
1162 NORDHUS;482;
1163 WESTBYE;481;
1164 NÆRLAND;481;
1165 LANDA;481;
1166 HARAM;481;
1167 BRYN;481;
1168 BERISHA;481;
1169 LINDAHL;480;
1170 HASLE;480;
1171 ELMI;480;
1172 KLUNGLAND;479;
1173 HAUKLAND;479;
1174 FROSTAD;479;
1175 SANDSTAD;478;
1176 NERGAARD;478;
1177 AMIN;478;
1178 SUNDBERG;477;
1179 LIED;477;
1180 HORNE;477;
1181 BJØRGUM;477;
1182 TEIGE;476;
1183 SANNE;476;
1184 LANGNES;476;
1185 HOLMSEN;476;
1186 HEGGDAL;476;
1187 KALLAND;475;
1188 RYDNINGEN;474;
1189 TELLE;473;
1190 SCHAU;473;
1191 FINSRUD;473;
1192 SKARSTEIN;472;
1193 HÅHEIM;472;
1194 HOGNESTAD;472;
1195 CARLSSON;472;
1196 ASPEN;472;
1197 HAGLUND;471;
1198 ESKELAND;471;
1199 BAKKA;471;
1200 ADAN;471;
1201 ØKSNES;470;
1202 TRØEN;470;
1203 RØKKE;470;
1204 SJØLIE;469;
1205 EIDISSEN;469;
1206 BERGERUD;469;
1207 AARHUS;469;
1208 WOLDEN;468;
1209 VARTDAL;468;
1210 TVEITO;468;
1211 STABELL;468;
1212 EIKENES;468;
1213 DALLAND;468;
1214 BØEN;468;
1215 WESTAD;467;
1216 MOLVIK;467;
1217 IRGENS;467;
1218 VALSTAD;466;
1219 HELDAL;466;
1220 ØSTEBØ;465;
1221 RONG;464;
1222 HOLMBERG;464;
1223 EEK;464;
1224 BY;464;
1225 ØYGARD;463;
1226 ROSENBERG;463;
1227 OPSAL;463;
1228 KVARME;463;
1229 FRØLAND;463;
1230 TVETEN;461;
1231 HUNSTAD;461;
1232 DALHEIM;460;
1233 SOLVIK;459;
1234 BROX;459;
1235 BERGENE;459;
1236 STAVE;458;
1237 SKORPEN;458;
1238 LEITE;458;
1239 JUUL;458;
1240 HOVIND;458;
1241 HOLMEDAL;458;
1242 HØYEM;457;
1243 RAAEN;456;
1244 HELLELAND;456;
1245 BAARDSEN;455;
1246 THEODORSEN;454;
1247 NORDENG;454;
1248 LÆGREID;454;
1249 GULLAKSEN;454;
1250 BRAKSTAD;454;
1251 THU;453;
1252 TAULE;453;
1253 RØDAL;453;
1254 KJØLSTAD;453;
1255 HJORTLAND;453;
1256 ANGELSEN;453;
1257 MJØEN;452;
1258 KROG;452;
1259 WARSAME;451;
1260 SKEIDE;451;
1261 LUNDER;451;
1262 KJØRSVIK;451;
1263 GARBERG;451;
1264 CHRISTOPHERSEN;451;
1265 ØSTHUS;450;
1266 HYNNE;450;
1267 HO;450;
1268 HEGLAND;450;
1269 EGEBERG;450;
1270 WIGGEN;449;
1271 VESTAD;448;
1272 SCHULTZ;448;
1273 HERSTAD;448;
1274 GRUDE;448;
1275 BORLAUG;448;
1276 SKJØNHAUG;447;
1277 KVINGE;447;
1278 AURE;447;
1279 TYSSE;446;
1280 TAFJORD;446;
1281 GRINI;446;
1282 GARNES;446;
1283 BUI;446;
1284 MOAN;445;
1285 GRANÅS;445;
1286 FOSSDAL;445;
1287 TURØY;444;
1288 FJELLDAL;444;
1289 ALEKSANDERSEN;444;
1290 REITE;443;
1291 HAUGSETH;443;
1292 BØRVE;443;
1293 TRUONG;442;
1294 LØVLI;442;
1295 HOPEN;442;
1296 HAREIDE;442;
1297 EKREN;442;
1298 CASPERSEN;442;
1299 POULSEN;441;
1300 KIELLAND;441;
1301 WILBERG;440;
1302 KJØSNES;440;
1303 ÅRDAL;439;
1304 TOMREN;439;
1305 NYBAKK;439;
1306 DANG;439;
1307 BRAUT;439;
1308 SKOGMO;437;
1309 RIBE;437;
1310 MINDE;437;
1311 BJØRGAN;437;
1312 WILLIAMS;436;
1313 STORESUND;436;
1314 HOLVIK;436;
1315 FLO;436;
1316 VAGLE;435;
1317 UGLAND;434;
1318 SØMME;434;
1319 HOANG;434;
1320 ASHEIM;434;
1321 WINGE;433;
1322 LYGRE;433;
1323 KRUSE;433;
1324 VENÅS;432;
1325 SOLBAKK;432;
1326 SLETTEBØ;432;
1327 SKOGLY;432;
1328 OTTERSEN;432;
1329 NYDAL;432;
1330 LEINE;432;
1331 SJÅSTAD;431;
1332 OS;431;
1333 LEE;431;
1334 LOFTHUS;430;
1335 EIKEMO;430;
1336 VANGSNES;429;
1337 URKE;429;
1338 BOLME;429;
1339 TONNING;428;
1340 STORNES;428;
1341 SKAGE;428;
1342 SANDBAKKEN;428;
1343 REMØY;428;
1344 HAUSKEN;428;
1345 ERIKSTAD;428;
1346 HAMMERSLAND;427;
1347 STØEN;426;
1348 HALSETH;426;
1349 TORJUSSEN;425;
1350 RØDSETH;425;
1351 BOTNEN;425;
1352 IGLAND;424;
1353 HARTVIGSEN;424;
1354 EKLUND;424;
1355 MOSS;423;
1356 FAUSKANGER;423;
1357 SYRSTAD;422;
1358 SVENNINGSEN;422;
1359 KIDANE;422;
1360 BASHIR;422;
1361 VÅGENES;421;
1362 ROLFSEN;421;
1363 ONARHEIM;421;
1364 KRYGER;421;
1365 HEYERDAHL;421;
1366 HELLEVIK;421;
1367 HEIDE;421;
1368 GILL;421;
1369 ESPE;421;
1370 ERLAND;421;
1371 VARHAUG;420;
1372 OTTOSEN;420;
1373 LANDMARK;420;
1374 KLEVELAND;420;
1375 NORDEIDE;419;
1376 MYHRER;419;
1377 KVALSUND;419;
1378 ESPESETH;419;
1379 EKELAND;419;
1380 BUNES;419;
1381 AUSTRHEIM;419;
1382 AANES;419;
1383 STEIN;418;
1384 EIKE;418;
1385 BJERGA;418;
1386 SOLA;417;
1387 JONES;417;
1388 HOLSEN;416;
1389 HAUGOM;416;
1390 TRONES;415;
1391 TORVUND;415;
1392 MOLNES;415;
1393 HAUGNES;415;
1394 AXELSEN;415;
1395 NESE;414;
1396 MISJE;414;
1397 LINDE;414;
1398 ENGESET;414;
1399 ALFREDSEN;414;
1400 VEA;413;
1401 BERDAL;413;
1402 AANESTAD;413;
1403 NYVOLL;412;
1404 LIU;412;
1405 BRANDTZÆG;412;
1406 TØMMERÅS;411;
1407 SJØLI;411;
1408 RØVIK;411;
1409 MAUSETH;411;
1410 LUNDGREN;411;
1411 BUSCH;411;
1412 TEKLE;410;
1413 SAGSTAD;409;
1414 HELGERUD;409;
1415 GRANERUD;409;
1416 BLAKSTAD;409;
1417 SMEBY;408;
1418 VESTBØ;407;
1419 RØSSLAND;407;
1420 RAHIMI;407;
1421 MÆHLE;407;
1422 HYSTAD;407;
1423 RØSAND;406;
1424 GRAMSTAD;406;
1425 ANDA;406;
1426 KÅSA;405;
1427 AASEBØ;405;
1428 LERVÅG;404;
1429 JESPERSEN;404;
1430 INDREBØ;404;
1431 FLEM;404;
1432 ASLAM;404;
1433 ALFSEN;404;
1434 KHALIL;403;
1435 ISACHSEN;403;
1436 ENGSTRØM;403;
1437 TORSTENSEN;402;
1438 SKJERVEN;402;
1439 LANGHELLE;402;
1440 KLEMETSEN;402;
1441 VÆRNES;401;
1442 ROLSTAD;401;
1443 PRYTZ;401;
1444 KLEPP;401;
1445 ZAKARIASSEN;400;
1446 STORØY;400;
1447 SKJELSTAD;400;
1448 HJØRNEVIK;400;
1449 KALVIK;399;
1450 VÅRDAL;398;
1451 VABØ;398;
1452 TUNHEIM;398;
1453 STOREBØ;398;
1454 KJERSTAD;398;
1455 JESSEN;398;
1456 HATLESTAD;398;
1457 GRAM;398;
1458 ENGEBAKKEN;398;
1459 DAHLSTRØM;398;
1460 STRØMSTAD;397;
1461 MALMO;397;
1462 GUSTAD;397;
1463 STØLAN;396;
1464 MYHRA;396;
1465 LØYNING;396;
1466 BJØRKHAUG;396;
1467 STORDAL;395;
1468 MOLLAND;395;
1469 HATLEN;395;
1470 BIBI;395;
1471 SANDANGER;394;
1472 NORLAND;394;
1473 NORDHAUG;394;
1474 HAAKONSEN;394;
1475 SKEI;393;
1476 NORDMO;393;
1477 MYRHAUG;393;
1478 HARESTAD;393;
1479 ASHRAF;393;
1480 AARØ;393;
1481 FISKE;392;
1482 DIMMEN;392;
1483 THOMAS;391;
1484 STIGEN;391;
1485 STAVA;391;
1486 OLSVIK;391;
1487 MYRE;391;
1488 LYSAKER;391;
1489 BROWN;391;
1490 BJØRGEN;391;
1491 SØRHAUG;390;
1492 SJØVOLD;390;
1493 SEM;390;
1494 SCHØYEN;390;
1495 NYHAGEN;390;
1496 NORDTVEIT;390;
1497 EGE;390;
1498 YNDESTAD;389;
1499 RINDE;389;
1500 MYKING;389;
1501 LUNDEMO;389;
1502 STEIRO;388;
1503 ROGNLIEN;388;
1504 OMA;388;
1505 NORDSKOG;388;
1506 GUDMESTAD;387;
1507 DITLEFSEN;387;
1508 VIGRE;386;
1509 SAKSHAUG;386;
1510 MICHALSEN;386;
1511 FOLLESTAD;386;
1512 FIKSDAL;386;
1513 NORDLIE;385;
1514 KRÅKENES;385;
1515 SØNSTEBY;384;
1516 SAMDAL;384;
1517 ROSNES;384;
1518 REINHOLDTSEN;384;
1519 MAHMOUD;384;
1520 HEGG;384;
1521 ØSTLIE;383;
1522 SØLVBERG;383;
1523 RØBERG;383;
1524 MELLINGEN;383;
1525 MAGNUSSON;383;
1526 MADLAND;383;
1527 FLATEBØ;383;
1528 ERSLAND;383;
1529 DALBY;383;
1530 BJERKESTRAND;383;
1531 AUSLAND;383;
1532 ANWAR;383;
1533 SJO;382;
1534 GRØNLUND;382;
1535 GOA;382;
1536 BRYHN;382;
1537 SANDAKER;381;
1538 NYSÆTER;381;
1539 MEHUS;381;
1540 BRUNSTAD;381;
1541 BERHE;381;
1542 ZAHL;380;
1543 TESFAY;380;
1544 RAJA;380;
1545 POLLESTAD;380;
1546 MARØY;380;
1547 MAHAMUD;380;
1548 KLOSTER;380;
1549 KILEN;380;
1550 HUSA;380;
1551 HENNUM;380;
1552 VESTVIK;379;
1553 ULSETH;379;
1554 KVAAL;379;
1555 KNAPSTAD;379;
1556 HØGSETH;379;
1557 HARTMANN;379;
1558 BJERK;379;
1559 VISTE;378;
1560 RUI;378;
1561 TANGSTAD;377;
1562 RISVIK;377;
1563 HAGELUND;377;
1564 ENERSEN;377;
1565 ELDE;377;
1566 DAAE;377;
1567 STANGE;376;
1568 SILSETH;376;
1569 MYKLAND;376;
1570 KARIMI;376;
1571 ELVERUM;376;
1572 DYB;376;
1573 BUE;376;
1574 BIRKENES;376;
1575 NORBERG;375;
1576 FOSSLI;375;
1577 SEGLEM;374;
1578 KRONSTAD;374;
1579 HOFSETH;374;
1580 TORBJØRNSEN;373;
1581 SAGA;373;
1582 ROGNERUD;373;
1583 NUR;373;
1584 KALSTAD;373;
1585 HOLUM;373;
1586 KARIM;372;
1587 ADEN;372;
1588 WINSNES;371;
1589 SIGURDSEN;371;
1590 LØKÅS;371;
1591 IMS;371;
1592 BORCH;371;
1593 AULIE;371;
1594 ØSTBERG;370;
1595 VELDE;370;
1596 SOMMERSTAD;370;
1597 SKOGLAND;370;
1598 MYRSTAD;370;
1599 MOHN;370;
1600 LANDSEM;370;
1601 JUVIK;370;
1602 ENGEDAL;370;
1603 ARNEBERG;370;
1604 WALLIN;369;
1605 SØRNES;369;
1606 SOLENG;369;
1607 SLETTA;369;
1608 SAFI;369;
1609 JORDET;369;
1610 DIRDAL;369;
1611 TJØSTHEIM;368;
1612 THORSRUD;368;
1613 MARKEN;368;
1614 HOSSEINI;368;
1615 HALSTENSEN;368;
1616 FISCHER;368;
1617 VASSBOTN;367;
1618 SALAMONSEN;367;
1619 RUD;367;
1620 KOCH;367;
1621 EKNES;367;
1622 CHAUDHRY;367;
1623 UTHEIM;366;
1624 TVEITAN;366;
1625 RUGLAND;366;
1626 NESBØ;366;
1627 BÆVRE;366;
1628 STRØMBERG;365;
1629 RANHEIM;365;
1630 GRØTTE;365;
1631 BJØRNEVIK;365;
1632 SØDAL;364;
1633 SKOGSETH;364;
1634 SIREVÅG;364;
1635 LYSØ;364;
1636 LASSEN;364;
1637 KVALVÅG;364;
1638 HAVN;364;
1639 FISKERSTRAND;364;
1640 SANDØ;363;
1641 RAMSVIK;363;
1642 MELLEM;363;
1643 FRIGSTAD;363;
1644 ENGDAL;363;
1645 ARNØY;363;
1646 AABERG;363;
1647 TVEITA;362;
1648 TOMTER;362;
1649 SAEED;362;
1650 KRANE;362;
1651 KALLESTAD;362;
1652 JØNSSON;362;
1653 HAARR;362;
1654 STRAY;361;
1655 NÆVDAL;361;
1656 LIUM;361;
1657 HEIA;361;
1658 DO;361;
1659 STORM;360;
1660 REPPE;360;
1661 REIN;360;
1662 HAUGSDAL;360;
1663 FLATLAND;360;
1664 FERKINGSTAD;360;
1665 VIGDAL;359;
1666 TALLAKSEN;359;
1667 SANDUM;359;
1668 HÆGELAND;359;
1669 HEIEN;359;
1670 BJØRSETH;359;
1671 SVERDRUP;358;
1672 SVELA;358;
1673 LAM;358;
1674 KÅRSTAD;358;
1675 KVERNMO;358;
1676 HAMMERVOLD;358;
1677 HALSE;358;
1678 ABDULLE;358;
1679 ÅSLAND;357;
1680 KARLSRUD;357;
1681 JENTOFT;357;
1682 HØGSET;357;
1683 HEGGHEIM;357;
1684 HALL;357;
1685 FORMO;357;
1686 FLØ;357;
1687 BØHLER;357;
1688 THØGERSEN;356;
1689 SVINGEN;356;
1690 STRØMNES;356;
1691 SLÅEN;356;
1692 REFVIK;356;
1693 MAGNUS;356;
1694 KLOKK;356;
1695 WALDERHAUG;355;
1696 SKORSTAD;355;
1697 MOLDESTAD;355;
1698 LOSSIUS;355;
1699 HEBNES;355;
1700 ØSTVIK;354;
1701 RAMSLAND;354;
1702 PAULSRUD;354;
1703 OLAVESEN;354;
1704 MURI;354;
1705 HAGENES;354;
1706 FRIBERG;354;
1707 ASPHAUG;354;
1708 VIKA;353;
1709 REPPEN;353;
1710 KYLLINGSTAD;353;
1711 KVANDE;352;
1712 DIGERNES;352;
1713 BERGMAN;352;
1714 ROKSTAD;351;
1715 KILLI;351;
1716 HEGSTAD;351;
1717 HAUGVALDSTAD;351;
1718 FORSETH;351;
1719 FLAA;351;
1720 ENGEVIK;351;
1721 CLAUSSEN;351;
1722 VEUM;350;
1723 TRØAN;350;
1724 SLINNING;350;
1725 RISDAL;350;
1726 DAHIR;350;
1727 ARAYA;350;
1728 AARSKOG;350;
1729 MITTET;349;
1730 LURA;349;
1731 KUMAR;349;
1732 HELBERG;349;
1733 DYRSTAD;349;
1734 ALFHEIM;349;
1735 WOLL;348;
1736 WESTRUM;348;
1737 LILLENG;348;
1738 KOLLTVEIT;348;
1739 KLÆBOE;348;
1740 AUSTBØ;348;
1741 AFZAL;348;
1742 REED;347;
1743 NOOR;347;
1744 MARTIN;347;
1745 GARVIK;347;
1746 ANTHONSEN;347;
1747 TØMTE;346;
1748 LENDE;346;
1749 LEITHE;346;
1750 HØYER;346;
1751 KLAUSSEN;345;
1752 KHALID;345;
1753 HINDENES;345;
1754 FOLGERØ;345;
1755 UTSI;344;
1756 HILDRE;344;
1757 GRØNSTAD;344;
1758 DALENE;344;
1759 BETTEN;344;
1760 BERGGREN;344;
1761 ARNESTAD;344;
1762 AAMOT;344;
1763 FRØYEN;343;
1764 BØYUM;343;
1765 AKER;343;
1766 ØVRETVEIT;342;
1767 WITH;342;
1768 TORHEIM;342;
1769 HADDELAND;342;
1770 BERGEM;342;
1771 SKJETNE;341;
1772 LANGØY;341;
1773 ANGELTVEIT;341;
1774 AMIRI;341;
1775 WIEN;340;
1776 THOMPSON;340;
1777 EBBESEN;340;
1778 SÆVAREID;339;
1779 SANGOLT;339;
1780 MANNES;339;
1781 FISKVIK;339;
1782 ESPENES;339;
1783 VIE;338;
1784 TANDE;338;
1785 STØYLEN;338;
1786 SPERRE;338;
1787 SOLDAL;338;
1788 KONGSHAUG;338;
1789 GUDDAL;338;
1790 DRAGE;338;
1791 BJERKELI;338;
1792 AAKVIK;338;
1793 AAGAARD;338;
1794 WÆRNES;337;
1795 SVINDLAND;337;
1796 LANGÅKER;337;
1797 HAUKAAS;337;
1798 GRØNNEVIK;337;
1799 FORBORD;337;
1800 BUVIK;337;
1801 ABRAHAM;337;
1802 STURE;336;
1803 NYSTRØM;336;
1804 HØISETH;336;
1805 GRØTTING;336;
1806 FINSETH;336;
1807 ECKHOFF;336;
1808 VIKE;335;
1809 VATN;335;
1810 SHEIKH;335;
1811 SHALA;335;
1812 OEN;335;
1813 KLETTE;335;
1814 KJELLEVOLD;335;
1815 HOFFMANN;335;
1816 FURRE;335;
1817 BJØRKEDAL;335;
1818 BERSTAD;335;
1819 TORNES;334;
1820 MISUND;334;
1821 LILLESTØL;334;
1822 HØINES;334;
1823 HELLEBUST;334;
1824 GLESNES;334;
1825 BARTH;334;
1826 VOLDSUND;333;
1827 SVARDAL;333;
1828 RØYSET;333;
1829 HAMNES;333;
1830 SCHJETNE;332;
1831 OLDEN;332;
1832 NYBRÅTEN;332;
1833 MOLSTAD;332;
1834 MOHAMAD;332;
1835 MALM;332;
1836 LØVER;332;
1837 KNOPH;332;
1838 FORSMO;332;
1839 FOLKVORD;332;
1840 RAVN;331;
1841 LØVLAND;331;
1842 BAKK;331;
1843 WALSTAD;330;
1844 OPLAND;330;
1845 MOLDSKRED;330;
1846 FJERMESTAD;330;
1847 BRØNDBO;330;
1848 BJØRKÅS;330;
1849 ANFINSEN;330;
1850 AKRAM;330;
1851 SELMER;329;
1852 NYRUD;329;
1853 MOGSTAD;329;
1854 LANGØ;329;
1855 KILE;329;
1856 HODDEVIK;329;
1857 AUGESTAD;329;
1858 AALAND;329;
1859 ÅDLAND;328;
1860 SAUR;328;
1861 NORNES;328;
1862 ASTRUP;328;
1863 TEIEN;327;
1864 OTTERSTAD;327;
1865 MØGSTER;327;
1866 LAUGEN;327;
1867 LANGLI;327;
1868 KVILHAUG;327;
1869 GRAFF;327;
1870 GJENDEM;327;
1871 DYRDAL;327;
1872 VEDAL;326;
1873 TVETE;326;
1874 SKJÆRVIK;326;
1875 SALTNES;326;
1876 KOLSTØ;326;
1877 ISTAD;326;
1878 GRØNSETH;326;
1879 GRONGSTAD;326;
1880 BJØRNDALEN;326;
1881 BJØRN;326;
1882 BJØRLO;326;
1883 ALMLI;326;
1884 TORSET;325;
1885 TORBERGSEN;325;
1886 MELHEIM;325;
1887 EKREM;325;
1888 ØSTMO;324;
1889 SINGSTAD;324;
1890 SALIH;324;
1891 ROOS;324;
1892 JEVNE;324;
1893 HOLMEFJORD;324;
1894 HESJEDAL;324;
1895 FURUNES;324;
1896 ENGESETH;324;
1897 EGGUM;324;
1898 AARSLAND;324;
1899 TØLLEFSEN;323;
1900 TJEMSLAND;323;
1901 NØKLEBY;323;
1902 LYNGVÆR;323;
1903 LISETH;323;
1904 LANGLO;323;
1905 ENGUM;323;
1906 BØRSETH;323;
1907 VISTNES;322;
1908 STØA;322;
1909 ROTH;322;
1910 RANA;322;
1911 MENTZONI;322;
1912 DUONG;322;
1913 VELLE;321;
1914 SKJØRESTAD;321;
1915 RYLAND;321;
1916 RYAN;321;
1917 MIDTGÅRD;321;
1918 KOLSRUD;321;
1919 EIKÅS;321;
1920 DYNGELAND;321;
1921 BÆKKEN;321;
1922 ØSTERBØ;320;
1923 SIGVARTSEN;320;
1924 PALM;320;
1925 HATLAND;320;
1926 HABBESTAD;320;
1927 BRYNJULFSEN;320;
1928 BJERKELUND;320;
1929 BALTZERSEN;320;
1930 ØSTERÅS;319;
1931 LYDERSEN;319;
1932 LILLEBY;319;
1933 ESPELID;319;
1934 BULJO;319;
1935 LYSSAND;318;
1936 KIIL;318;
1937 HESSEN;318;
1938 HAJI;318;
1939 FERAGEN;318;
1940 BRØNSTAD;318;
1941 BHATTI;318;
1942 BERGSET;318;
1943 SAGMO;317;
1944 HVAL;317;
1945 HUUS;317;
1946 HJELVIK;317;
1947 BOYE;317;
1948 BLOMBERG;317;
1949 NYMARK;316;
1950 NODLAND;316;
1951 LINDHJEM;316;
1952 HOTVEDT;316;
1953 HILLE;316;
1954 GJELSTAD;316;
1955 FRYDENBERG;316;
1956 EGELI;316;
1957 VALLESTAD;315;
1958 STAVIK;315;
1959 SEIERSTAD;315;
1960 OMHOLT;315;
1961 MOUM;315;
1962 LANGMO;315;
1963 KAVLI;315;
1964 HANSTAD;315;
1965 EKERHOVD;315;
1966 BOSTAD;315;
1967 SØRHUS;314;
1968 NAUSTDAL;314;
1969 MONSTAD;314;
1970 LYSE;314;
1971 KINN;314;
1972 GUNNERUD;314;
1973 BJØRHEIM;314;
1974 SØFTELAND;313;
1975 KRAFT;313;
1976 HURLEN;313;
1977 GRØSTAD;313;
1978 GILBERG;313;
1979 BRASETH;313;
1980 BRAGSTAD;313;
1981 WENNBERG;312;
1982 RØDSJØ;312;
1983 PRESTEGÅRD;312;
1984 LEISTAD;312;
1985 HARALDSEID;312;
1986 GJESSING;312;
1987 FYLKESNES;312;
1988 ELVEBAKK;312;
1989 BREEN;312;
1990 ASPENES;312;
1991 VOGT;311;
1992 ULVEN;311;
1993 STENDAL;311;
1994 STAVRUM;311;
1995 NYSVEEN;311;
1996 MELLUM;311;
1997 LEONHARDSEN;311;
1998 KALDESTAD;311;
1999 BAKKER;311;
2000 ASKIM;311;
2001 AKSDAL;311;
2002 ØGLÆND;310;
2003 ØDEGÅRDEN;310;
2004 THOMMESEN;310;
2005 STENSVOLD;310;
2006 SKULLERUD;310;
2007 SIRNES;310;
2008 ROGNMO;310;
2009 LANGVIK;310;
2010 FLATÅS;310;
2011 AUNAN;310;
2012 TØNDER;309;
2013 SCHOU;309;
2014 SANDBAKK;309;
2015 ROSENVINGE;309;
2016 KOLÅS;309;
2017 HARALDSTAD;309;
2018 DAGESTAD;309;
2019 SVENSLI;308;
2020 SOMA;308;
2021 MINGE;308;
2022 HAARBERG;308;
2023 GRØNNINGSÆTER;308;
2024 GREVE;308;
2025 FOSSAN;308;
2026 DRØNEN;308;
2027 BRUVOLL;308;
2028 BRATTLI;308;
2029 ALVHEIM;308;
2030 USTAD;307;
2031 STAV;307;
2032 MOSTAD;307;
2033 MOLUND;307;
2034 LOG;307;
2035 KVERNBERG;307;
2036 HORVEI;307;
2037 BIRKEDAL;307;
2038 RØNNESTAD;306;
2039 LIKNES;306;
2040 KLINGENBERG;306;
2041 HØIVIK;306;
2042 HEGGØY;306;
2043 HASHI;306;
2044 BRUNES;306;
2045 BERHANE;306;
2046 WANGBERG;305;
2047 TRØNNES;305;
2048 SYNNES;305;
2049 SANDVE;305;
2050 RAASTAD;305;
2051 NORDANGER;305;
2052 HVEDING;305;
2053 FJELLVANG;305;
2054 FAGERNES;305;
2055 DEHLI;305;
2056 AUSTNES;305;
2057 SAUE;304;
2058 MUNKVOLD;304;
2059 KIHLE;304;
2060 FISKUM;304;
2061 BROEN;304;
2062 BERRE;304;
2063 VALVIK;303;
2064 SKAUEN;303;
2065 MIKKELBORG;303;
2066 BAKKERUD;303;
2067 AASLUND;303;
2068 WIBORG;302;
2069 TONHEIM;302;
2070 SÆTERDAL;302;
2071 REKSTEN;302;
2072 REFSDAL;302;
2073 OSE;302;
2074 LEIKVOLL;302;
2075 KALLEBERG;302;
2076 HELTNE;302;
2077 FORLAND;302;
2078 BJØRNÅ;302;
2079 ØVERGAARD;301;
2080 VISNES;301;
2081 SVENDSRUD;301;
2082 SERIGSTAD;301;
2083 NYQUIST;301;
2084 KONRADSEN;301;
2085 BRATSBERG;301;
2086 BJERKÅS;301;
2087 SPORSHEIM;300;
2088 RØINE;300;
2089 RING;300;
2090 HONNINGSVÅG;300;
2091 FARESTVEIT;300;
2092 BLYSTAD;300;
2093 BENDIXEN;300;
2094 ASKVIK;300;
2095 ABUKAR;300;
2096 TØNDEL;299;
2097 TIDEMANN;299;
2098 TAHIR;299;
2099 SKISTAD;299;
2100 LAUVÅS;299;
2101 GARCIA;299;
2102 FJELLANGER;299;
2103 ENGVIK;299;
2104 DUE;299;
2105 ASPAAS;299;
2106 WELDE;298;
2107 WEISETH;298;
2108 STADHEIM;298;
2109 SKOTNES;298;
2110 SKJÆRET;298;
2111 SEKSE;298;
2112 MILDE;298;
2113 LEIKANGER;298;
2114 KAUSAR;298;
2115 ALGRØY;298;
2116 ØWRE;297;
2117 STJERN;297;
2118 SKOGE;297;
2119 RØSVIK;297;
2120 REKSTAD;297;
2121 NERDAL;297;
2122 MALVIK;297;
2123 HESTVIK;297;
2124 BAUMANN;297;
2125 WESTLIE;296;
2126 STORÅS;296;
2127 SLETNER;296;
2128 ROGNLI;296;
2129 OVERÅ;296;
2130 DRABLØS;296;
2131 BRYNE;296;
2132 BJERKLI;296;
2133 AARRESTAD;296;
2134 WROLDSEN;295;
2135 SKARBØ;295;
2136 NAAS;295;
2137 JOHANSON;295;
2138 HALLERAKER;295;
2139 FLEISCHER;295;
2140 BYRKJELAND;295;
2141 BJØNNES;295;
2142 YTRELAND;294;
2143 WINJE;294;
2144 VALBERG;294;
2145 SOLVOLL;294;
2146 SKJONG;294;
2147 RINGVOLD;294;
2148 LÆRUM;294;
2149 KANESTRØM;294;
2150 FJÆRLI;294;
2151 BREMSETH;294;
2152 ÅRVIK;293;
2153 SUNDLI;293;
2154 SILDEN;293;
2155 SANDBÆK;293;
2156 ROBSTAD;293;
2157 PLASSEN;293;
2158 HIDLE;293;
2159 HAY;293;
2160 FOSSLAND;293;
2161 FALLET;293;
2162 YILDIZ;292;
2163 VOLLEN;292;
2164 SANDTORV;292;
2165 NYSÆTHER;292;
2166 NORDSVEEN;292;
2167 MIRZA;292;
2168 LONE;292;
2169 LILLEGÅRD;292;
2170 HEGGERNES;292;
2171 DAGSLAND;292;
2172 WORREN;291;
2173 THUNES;291;
2174 STENERUD;291;
2175 ROKSVÅG;291;
2176 RINGNES;291;
2177 NESVIK;291;
2178 KRINGSTAD;291;
2179 HØYE;291;
2180 HJELSETH;291;
2181 EIDSVIK;291;
2182 ØVERBØ;290;
2183 VEDØY;290;
2184 TRYDAL;290;
2185 SKINSTAD;290;
2186 RISBERG;290;
2187 DYBDAL;290;
2188 DVERGSDAL;290;
2189 TVEITE;289;
2190 TEWELDE;289;
2191 LYNGMO;289;
2192 LILLEJORD;289;
2193 KORSVOLD;289;
2194 HELSTAD;289;
2195 HAVELAND;289;
2196 FURSETH;289;
2197 EKROLL;289;
2198 BILSTAD;289;
2199 ASP;289;
2200 ØSTGAARD;288;
2201 UTVIK;288;
2202 KNARVIK;288;
2203 HVEEM;288;
2204 HOLMVIK;288;
2205 HATLEM;288;
2206 FRØSETH;288;
2207 FJELLESTAD;288;
2208 DALHAUG;288;
2209 BJUNE;288;
2210 TJESSEM;287;
2211 SOGN;287;
2212 SELVÅG;287;
2213 NISTAD;287;
2214 KVALNES;287;
2215 HORTEN;287;
2216 BREISTEIN;287;
2217 YILMAZ;286;
2218 SÆTRAN;286;
2219 SVANES;286;
2220 SUNDNES;286;
2221 OMER;286;
2222 IHLE;286;
2223 HUSEVÅG;286;
2224 HELGHEIM;286;
2225 HALLAN;286;
2226 GROTLE;286;
2227 GRANLY;286;
2228 BELL;286;
2229 WULFF;285;
2230 REHMAN;285;
2231 OTNES;285;
