navn;Antall;
270 MO;1596;
271 GRANDE;1589;
272 AASHEIM;1584;
273 LAURITZEN;1580;
274 FARSTAD;1577;
275 VATNE;1573;
276 GRIMSTAD;1573;
277 SINGH;1570;
278 HOLT;1569;
279 KROGH;1560;
280 RUSTAD;1554;
281 OLAFSEN;1552;
282 ØVERLAND;1549;
283 ENDRESEN;1549;
284 GULLIKSEN;1546;
285 BENDIKSEN;1545;
286 BERGERSEN;1544;
287 OMAR;1542;
288 OPSAHL;1535;
289 MYRVOLD;1535;
290 LARSSON;1535;
291 THORVALDSEN;1530;
292 SALVESEN;1530;
293 STANGELAND;1522;
294 THORSTENSEN;1517;
295 NYBORG;1510;
296 NORDVIK;1508;
297 NORMANN;1506;
298 FRANTZEN;1490;
299 NYHUS;1489;
300 RØD;1480;
301 SØRLI;1479;
302 THORBJØRNSEN;1470;
303 RINGSTAD;1468;
304 BREDESEN;1468;
305 NORDAHL;1467;
306 LERVIK;1466;
307 STEFFENSEN;1452;
308 MELBY;1447;
309 HJELLE;1443;
310 BJØRNSEN;1442;
311 MORK;1437;
312 HOLTER;1434;
313 MATHIESEN;1430;
314 SØRUM;1422;
315 HARALDSEN;1422;
316 SKOGEN;1411;
317 SKÅR;1403;
318 ERIKSSON;1398;
319 NES;1396;
320 OPHEIM;1395;
321 MØRK;1395;
322 HOVDE;1395;
323 RAMSTAD;1394;
324 LANDE;1389;
325 ØKLAND;1386;
326 HÅKONSEN;1385;
327 CHRISTOFFERSEN;1377;
328 SKEIE;1374;
329 KARLSSON;1373;
330 BUGGE;1360;
331 VANGEN;1359;
332 FREDHEIM;1356;
333 STENERSEN;1355;
334 GUTTORMSEN;1350;
335 BRAATHEN;1337;
336 ØYEN;1336;
337 ERLANDSEN;1330;
338 HOLST;1329;
339 SUNDBY;1327;
340 OSMAN;1327;
341 VOLDEN;1323;
342 KASPERSEN;1321;
343 LUNDBERG;1319;
344 HØYLAND;1319;
345 ROBERTSEN;1315;
346 HOPE;1311;
347 BERGAN;1311;
348 ASK;1311;
349 PHAM;1310;
350 BJØRKLUND;1305;
351 BJØRGE;1293;
352 VÅGE;1291;
353 NYMOEN;1286;
354 BANG;1285;
355 MARTINUSSEN;1282;
356 OLSSON;1276;
357 WIIG;1274;
358 RØRVIK;1271;
359 BERGLUND;1271;
360 ARONSEN;1264;
361 HOVDEN;1257;
362 JOHNSRUD;1255;
363 MICHELSEN;1250;
364 STRØMME;1231;
365 LID;1227;
366 HOLTHE;1220;
367 DAHLEN;1214;
368 TOBIASSEN;1212;
